Download Labels,Descargar etiquetas
Delete Shipping Method,Eliminar método de envío
Edit Method '%s,Editar el método '%s
New Method,Nuevo Método:
All websites,Todos los sitios web
Method Code,Código de método
Method Title,Título del método
Website,Sitio web
System Methods,Métodos del sistema
Delete,Borrar
Are you sure?,¿Estas seguro? 
Manage Shipping Methods,Administrar los métodos de envío
Add New Shipping Method,Añadir nuevo método de envío
Select Category,Selecciona una Categoría
Add Carrier,Añadir Carrier
Custom Vendor Information,Información personalizada del proveedor
Custom Data,#NAME?
"
Enter custom data for this vendor.<br/>
Each part should start with:<br/>
<pre>===== part_name =====</pre><br/>
Parts can be referenced from product template like this:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
","Introduzca datos personalizados para este proveedor. <br/>
Cada parte debe comenzar con: <br/>
<Pre> ===== part_name ===== </ pre> <br/>
Las partes pueden referenciarse desde una plantilla de producto como esta:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
"
Vendor Info,Información del vendedor
Vendor Name,Nombre del proveedor
Membership Profile,Perfil de la membresía
* Please select,Por favor seleccione
Membership,Afiliación
Allow Microsite,Permitir Microsite
Limit Products,Productos limitados
Billing Type,Modo de Pedido
DO NOT Automatically synchronize status with profile,NO sincronizar automáticamente el estado con el perfil
Reject Reason,Razón de rechazo
Send Reject Email,Enviar rechazo de correo electrónico
Resend Confirmation Email,Reenviar correo electrónico de confirmación
Send Confirmation Email,Enviar correo electrónico de confirmación
Resending confirmation email will reset password (revoke old one). New password will be sent to vendor in separate email once he click at the link in this confirmation email.,Reenviar correo electrónico de confirmación restablecerá la contraseña (revoca la antigua). La nueva contraseña se enviará al vendedor en un correo electrónico separado cuando haga clic en el enlace de este correo electrónico de confirmación.
Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email.,Enviar correo electrónico de confirmación. La contraseña se enviará al vendedor en un correo electrónico separado cuando haga clic en el enlace de este correo electrónico de confirmación.
Waiting for email confirmation,Esperando confirmación por correo electrónico
No,No.
Yes,Sí
Preferred Carrier,Transportista Preferido
Use Rates Fallback Chain,Cadena de Fallback de Tarifas de Uso
Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier,Intentará encontrar la tasa de estimación disponible para los métodos de envío dropship en orden de 1. Estimar el transportista <br> 2. Anular la portadora <br> 3. Predeterminado Carrier
Vendor Email,Correo electrónico del proveedor
Email is also used as username,El correo electrónico también se utiliza como nombre de usuario
New Password,nueva contraseña
Leave empty for no change,Dejar vacío para no cambiar
Log In Password,Usuario/contraseña
Login disabled if empty,Inhabilitado si está vacío
Vendor Telephone,Teléfono del vendedor
Phone number is required for FedEx label printing,El número de teléfono es obligatorio para la impresión de etiquetas de FedEx
Vendor Fax,Fax del proveedor
Use Default Configuration,Usar configuración predeterminada
Notification Template,Plantilla de notificación
Allow shipping extra charge,Permitir gastos adicionales de envío
Default shipping extra charge suffix,Suplemento de carga adicional de envío predeterminado
Default shipping extra charge type,Tipo de cargo adicional de envío predeterminado
Default shipping extra charge,Carga adicional de envío por defecto
Is extra charge shipping default,¿Es el costo adicional de envío predeterminado?
URL friendly identifier,Identificador amigable de URL
Please select state...,Seleccione Provincia
Shipping Origin Address,Dirección de origen del envío
Attention To,ATENCIÓN A ...
Street,Calle
City,Ciudad
Zip / Postal code,Código Postal
Country,País
Please select Country,"Por favor, seleccione País"
State,Estado
Please select State,Seleccione Estado
Billing Address,Dirección de facturación 
Same as Shipping,Igual que el envío
Leave empty to use shipping origin,Dejar vacío para usar origen de envío
Email,Correo
Leave empty to use default,Dejar vacío para utilizar el valor predeterminado
Telephone,Teléfono 
Fax,Fax 
Name,Nombre
SKU,Id
Vendor SKU,SKU del proveedor
Price,Precio
Vendor Cost,Costo del proveedor
Vendor Price,Precio del proveedor
Vendor Title,Título del proveedor
State/Condition,Estado / Condición
Backorders,Pedidos atrasados
Vendor Stock Qty,Cantidad de stock del proveedor
Availability State,Estado de disponibilidad
Availability Date,Fecha disponible
Special Price,Precio especial
Priority,Prioridad 
Code,Código
Extra Charge,Carga extra
* Use Default,Uso por defecto
Estimate Carrier,Estimar el transportista
* Use Estimate,* Usar estimación
Carrier Override,Anulación del operador
Default,Por defecto 
Manage Vendors,Administrar Proveedores.
Vendor Information,Informacion del proveedor
Preferences,Preferencias
Shipping methods,Formas de envío
Associated Products,Productos Asociados
Save Vendor,Guardar proveedor
Save and Continue Edit,Guardar y Continuar
Delete Vendor,Eliminar proveedor
Edit Vendor '%s,Editar proveedor%s
New Vendor,Nuevo vendedor
Vendor ID,ID Proveedor
Distributor,Distribuidor
Used Carrier,Carrier usado
Shipping Profile,Perfil del envío
Change status,Cambiar estado
Change Preferred Carrier,Cambiar de operador preferido
Change Shipping Profile,Cambiar perfil de envío
WYSIWYG Editor,Editor WYSIWYG
Use Default,Uso por defecto
Allow Extra Charge,Permitir Cargo Extra
From Date,Partir de la fecha
To Date,Hasta la fecha
Includes Reserved Qty,Incluye Cantidad Reservada
Add Adjustment,Añadir ajuste
Add,Añadir
Adjustment ID,ID de ajuste
PO ID,ID de pedido
PO Type,Tipo de pedido
Amount,Monto
Username,Nombre de usuario
Comment,Comentario
Statement Info,Información sobre la declaración
Statement ID,ID de la sentencia
Po Type,Tipo de Po
Number of Orders,Número de pedidos
Total Payout,Pago total
Total Paid,Total Pagado
Total Due,Deuda Total:
Total Invoice,Total de la factura
Notes,Notas 
Adjustment,Ajuste
Payout ID,ID de pago
Payout Type,Tipo de pago
Payout Status,Estado del pago
Transaction ID,ID de transacción
# of Orders,# De pedidos
Order ID,Identificación del Pedido 
Refund ID,ID de reembolso
Refund Date,Fecha de Devolución
Subtotal,Sub-Total
Com Amount,Cantidad
Tax,Impuesto
Shipping,Envío 
Discount,Descuento
Total Refund,Total Reembolsado
PO Ready Date,Fecha de preparación del pedido
Trans Fee,Tarifa de transporte
Paid,Pagado
Manage Statements,Gestionar declaraciones
Statement Information,Información de la Declaración
Payouts,Pay Outs
Rows,Filas
Refunds,Reembolsos
Adjustments,Ajustes:
Delete Statement,Eliminar declaración
Save and Pay,Guardar y pagar
Save and Refresh,Guardar y actualizar
Statement,Estado
Period,Período 
Total Payment,El pago total
Sent,Enviado
Deleting selected statement(s). Are you sure?,Borrar la (s) declaración (es) seleccionada (s). ¿Estas seguro? 
Refresh,Refrescar
Download/Print,Descargar / imprimir
Send Emails,Enviar correos electrónicos
Emailing selected statement(s) to vendors. Are you sure?,Envío por correo electrónico de las declaraciones seleccionadas a los vendedores. ¿Estas seguro? 
Statements Generation Criteria,Criterios de Generación de Declaraciones
Vendor Selection,Selección del vendedor
All Active Vendors,Todos los proveedores activos
Selected Vendors,Proveedores seleccionados
Vendors,Proveedores
Orders From Date,Órdenes desde fecha
Orders To Date,Órdenes hasta la fecha
Use Locale Timezone,Usar zona horaria local
Statement Period,Período de estado
"If empty, will take YYMM of ""Orders From Date","Si está vacío, se tomará YYMM de ""Pedidos de fecha"
Generate Statements,Generar declaraciones
Generate Vendor Statements,Generar declaraciones de proveedores
Vendor Statements,Declaraciones de proveedores
Add New Vendor,Añadir nuevo proveedor
* Use PO carrier *,* Utilizar la portadora de OP *
Custom Value,Valor personalizado
Images (%s),Imágenes ({0}%s{/0})
Media Storage,Almacén de datos
Create Folder...,Crear carpeta
Delete Folder,Eliminar carpeta
Delete File,Eliminar archivo 
Insert File,Insertar archivo
New Folder Name:,Nuevo nombre de directorio
Are you sure you want to delete current folder?,¿Está seguro de que desea eliminar la carpeta actual?
Are you sure you want to delete the selected file?,¿Seguro que desea eliminar el archivo seleccionado?
Storage Root,Raíz de almacenamiento
Invalid username or password.,Usuario o contraseña invalido.
Login and password are required,Se requiere iniciar sesión y contraseña
Report,Informe
Shipment has been marked as complete,El envío ha sido marcado como completo
There was a problem marking this shipment as complete: ,Se ha producido un problema al marcar este envío como completo: 
Invalid shipment ID supplied,ID de envío no válido suministrado
This shipment no longer exists.,Este envío ya no existe.
Comment text field cannot be empty.,El campo de texto de comentario no puede estar vacío.
Canceled shipment cannot be reverted,El envío cancelado no se puede revertir
%s\n\n[%s has changed the shipment status to %s],%S \ n \ n [%s ha cambiado el estado del envío a%s]
%s\n\n[%s tried to change the shipment status to %s],%S \ n \ n [%s intentó cambiar el estado del envío a%s]
Cannot add new comment.,No se puede agregar un comentario nuevo.
%s notifications sent.,%S notificaciones enviadas.
Problems during notifications resend.,Se reenvían problemas durante las notificaciones.
Shipping Methods,Formas de envío
"Only one system method could be selected when using ""* Any available"" wildcard method","Sólo se puede seleccionar un método de sistema cuando se utiliza el método comodín ""* Cualquier disponible"""
Shipping Method was successfully saved,Método de envío se guardó correctamente
Shipping Method was successfully deleted,Método de envío se eliminó correctamente
Please select shipping method(s),Seleccione el (los) método (s) de envío
Total of %d record(s) were successfully deleted,Total de%d registro (s) se eliminaron correctamente
Generate,Generar
"All done, <a href=""%s"">click here</a> to be redirected to statements grid.","Todo hecho, <a href=""%s""> haga clic aquí </a> para ser redirigido a la cuadrícula de estados."
Statements,Estados de Cuenta
Statement was successfully refreshed,Declaración actualizada correctamente
Statement '%s' no longer exists,La sentencia '%s' ya no existe
Statement was successfully saved,La declaración se ha guardado correctamente
Statement was successfully deleted,La declaración se eliminó correctamente
Please select statement(s),"Por favor, seleccione declaración (s)"
Total of %d record(s) were successfully refreshed,Total de%d registro (s) se actualizaron correctamente
No statements found to print,No se encontraron declaraciones para imprimir
There was an error while download vendor statement(s): %s,Se produjo un error al descargar la declaración del proveedor:%s
Total of %d statement(s) have been sent,Total de%d declaración (s) han sido enviados
Vendor was successfully saved,El proveedor se guardó correctamente
This shipping methods were not saved: %s. Try to use overrides.,No se guardaron estos métodos de envío:%s. Trate de usar anulaciones.
Vendor was successfully deleted,El proveedor se eliminó correctamente
Please select vendor(s),Seleccione el (los) proveedor (es)
Total of %d record(s) were successfully updated,Total de%d registro (s) se actualizaron con éxito
There was an error while updating vendor(s) status,Se produjo un error al actualizar el estado del proveedor
There was an error while updating vendor(s) preferred carrier,Se ha producido un error al actualizar el (los) proveedor (es) preferido
Create and Download Labels Batch,Crear y descargar etiquetas por lotes
Download Packing Slips,Descargar Packing Slips
Your session has been expired. Please log in again.,"Tu sesión ha terminado. Por favor, inicie sesión de nuevo."
Invalid confirmation link,Enlace de confirmación no válido
Your password has been reset.,Tu contraseña ha sido restablecida.
"Thank you, password reset instructions have been sent to the email you have provided, if a vendor with such email exists.","Gracias, las instrucciones de restablecimiento de contraseña se han enviado al correo electrónico que ha proporcionado, si existe un proveedor con dicho correo electrónico."
Invalid form data,Datos de formulario no válidos
Settings has been saved,Se ha guardado la configuración
No updates were made,No se realizaron actualizaciones
%s printed label ID %s,%S ID de etiqueta impresa%s
No items are available for shipment,No hay artículos disponibles para el envío
%s added tracking ID %s,%S agregó el ID de seguimiento%s
Tracking ID has been added,ID de seguimiento se ha agregado
%s has changed the shipment status to %s,%S ha cambiado el estado del envío a%s
%s tried to change the shipment status to %s,%S intentó cambiar el estado del envío a%s
Shipment status has been changed,Se ha cambiado el estado del envío
%s x [%s] %s,%Sx [%s]%s
Your comment has been sent to store administrator,Tu comentario ha sido enviado al administrador de la tienda
%s voided tracking ID %s,ID de rastreo anulado%s%s
Track %s was voided,La pista%s fue anulada
%s attempted to void tracking ID %s: %s,%S intentó anular el ID de seguimiento%s:%s
Problem voiding track %s: %s,Problema de vaciamiento de la pista%s:%s
%s deleted tracking ID %s,%S ID de seguimiento eliminado%s
Track %s was deleted,Se ha eliminado la pista%s
Track %s was not found,La pista%s no se encontró
No shipments found with supplied IDs,No se han encontrado envíos con los identificadores suministrados
No shipments found for these criteria,No se han encontrado envíos para estos criterios
No status selected,No se ha seleccionado ningún estado
Shipment status has been updated for the selected shipments,Se ha actualizado el estado del envío para los envíos seleccionados.
You are not authorized to print this shipment,No está autorizado para imprimir este envío
%s printed packing slip,%S hoja de embalaje impresa
Vendor specific custom text on the bottom of packing slip,Texto personalizado personalizado del proveedor en la parte inferior de la hoja de embalaje
Dropship,enviar directo
General Details,Información General
Item Details,Detalles del elemento
Dropship Labels,Etiquetas de Dropship
Drop Shipping,envío directos
Administrator Options,Opciones del administrador
Vendor Comments Receiver (store owner),Comentarios del vendedor Receptor (propietario de la tienda)
Vendor Comments Email Subject,Comentarios del vendedor
Vendor Comments Template,Plantilla de comentarios del proveedor
Letterhead Info,Información del membrete
Letterhead Logo,Logotipo del membrete
Letterhead Logo Aspect Ratio,Papel con membrete Relación de aspecto del logotipo
Admin Interface Theme,Tema de interfaz de administración
Subscribe for extension update notifications,Suscribirse para notificaciones de actualización de extensiones
Use ShipService_v12.wsdl for fedex shipping labels,Utilice ShipService_v12.wsdl para las etiquetas de envío de Fedex
"Show vendor rates in ""Shipping & Handling Information""
 box of order view page","Mostrar las tarifas de los proveedores en ""Información de envío y manipulación""
Caja de pedido ver página"
"Use ""select ... for update"" to check if order already split to pos","Utilice ""seleccione ... para actualizar"" para comprobar si el pedido ya está dividido en pos"
This option should be used when you experience problem when duplicate POs created,Esta opción debe utilizarse cuando tenga problemas cuando se crean ordenadores duplicados
Local Vendor,Proveedor local
Make Available to Dropship on Order Status(es),Hacer disponible para Dropship en el estado del pedido (es)
Change order status after POs beeing generated,Cambiar el estado del pedido después de que se generen las OP
"Strict mode of ""Change order status after POs beeing generated""","Modo estricto de ""Cambiar el estado del pedido después de que se generen las OP"""
"NOTE: ""yes"" will not change order status to the one selected in ""Change order status after POs beeing generated"" unless it was in one of ""Make Available to Dropship on Order Status(es)"" <br /> That could happen when you manually create POs in ""Advanced PO"" add-on and order poccess status not from the list of ""Make Available to Dropship on Order Status(es)"" <br /> ""no"" have no restriction","NOTA: ""Sí"" no cambiará el estado de la orden a la seleccionada en ""Cambiar el estado de la orden después de que las OPs se generen"" a menos que estuviera en uno de ""Hacer Disponible para Dropship en el Estado del Pedido"" Manualmente crea órdenes de compra en el complemento ""PO avanzado"" y no poccess el estado de la lista de ""Hacer disponible para Dropship en el estado de los pedidos"" <br /> ""no"" no tiene ninguna restricción"
Default Vendor Order (Shipment) Status,Estado predeterminado de la orden del proveedor (envíos)
Make Order Ready to Ship on Printing Packing Slip,Haga que la orden esté lista para enviarse en la impresión
Vendor Notification Email Sender,Notificador del proveedor
Default Vendor Notification Template,Plantilla de notificación de proveedor predeterminada
Shipment Comment Vendor Notification Template,Modelo de notificación del proveedor de envío
Default Vendor Password Reminder Template,Plantilla de recordatorio de contraseña de proveedor predeterminada
Low stock vendor notification template,Plantilla de notificación de proveedores de valores bajos
Special Cost Product Attribute,Costo especial Atributo del producto
NOTE: If date of order falls between special_from_date and special_to_date this attribute will be used as cost,NOTA: Si la fecha de pedido cae entre special_from_date y special_to_date este atributo se utilizará como costo
Vendor SKU Product Attribute,Vendedor SKU Producto Atributo
Font to use in PDF,Fuente a utilizar en PDF
NOTE: Using standard fonts will yield much smaller file size,NOTA: El uso de fuentes estándar generará un tamaño de archivo mucho menor
Attach Packing Slip to Vendor Notification,Adjuntar el resbalón de embalaje a la notificación del proveedor
Attach Shipping Label to Vendor Notification,Adjuntar la etiqueta de envío a la notificación del proveedor
Unique Email,Correo electrónico único
NOTE: Email/password combination is always unique,NOTA: La combinación de correo electrónico / contraseña siempre es única
Unique Vendor Name,Nombre único del proveedor
Vendor Interface Theme,Tema de interfaz del proveedor
Visible Preferences,Preferencias visibles
"NOTE: if none are selected, all will be shown by default","NOTA: si no se selecciona ninguno, todos se mostrarán de forma predeterminada"
Allowed HTML Tags for Vendor Preferences,Etiquetas HTML permitidas para las preferencias de los proveedores
Master Password,Contraseña maestra
Use this master password with vendor email to login to any vendor account,Utilice esta contraseña principal con el correo electrónico del proveedor para iniciar sesión en cualquier cuenta de proveedor
Attempt to void labels on deletion,Intentar anular etiquetas en la eliminación
Support for UPS only at the moment,Soporte para UPS sólo en este momento
Allow vendors to change shipment status manually,Permitir que los proveedores cambien el estado del envío manualmente
Automatically complete vendor shipment,Completar automáticamente el envío del proveedor
Available system shipping methods during vendor reassign in order,Métodos de envío del sistema disponibles durante la reasignación del proveedor en orden
Allow wysiwyg editor,Permitir el editor wysiwyg
Use autocomplete for vendor html select,Usar autocompletar para el proveedor html select
Hide shipping amount in packingslip,Ocultar la cantidad de envío en el paquete
Restrict shipment statuses in vendor interface,Restringir estados de envío en la interfaz del proveedor
Available shipment statuses in vendor interface,Estatus de envío disponibles en la interfaz del proveedor
"Show product ID in ""Manage Stock"" in vendor interface","Mostrar ID de producto en ""Administrar stock"" en la interfaz de proveedor"
Always allow generate labels for these system carriers,Permitir siempre generar etiquetas para estos portadores del sistema
Allow use of all PO udropship method associated system carriers when generate label,Permitir el uso de todos los métodos de udropship del sistema asociado cuando se generan etiquetas
Allow use of all carrier methods when generate label,Permitir el uso de todos los métodos portadores al generar etiqueta
Default custom text on the bottom of packing slip,Texto personalizado por defecto en la parte inferior de la hoja de embalaje
Show totals in vendor portal order view,Mostrar totales en la vista de pedido del portal del proveedor
Statement Email Sender,Declaración del remitente del correo electrónico
Statement Email Template,Plantilla de correo electrónico de la declaración
Adjustment Comment Trigger Word,Comentario de ajuste Trigger Word
Use this as a first word in shipment comment for adjustment amounts in the following format:<br/>ADJUSTMENT: -120<br/>Comment here,Use esto como primera palabra en el comentario de envío para cantidades de ajuste en el siguiente formato: <br/> AJUSTE: -120 <br/> Comentario aquí
Statement Usage,Uso de la declaración
"Default ""Apply commission on Discount""","Predeterminado ""Apply commission on Discount"""
"Default ""Apply commission on Tax""","Predeterminado ""Apply commission on Tax"""
"Default ""Apply commission on Shipping""","Predeterminado ""Apply commission on Shipping"""
"Default ""Discount In Payout""","Predeterminado ""Discount In Payout"""
"Default ""Tax In Payout""","Predeterminado ""Tax In Payout"""
"Default ""Shipping In Payout""","Predeterminado ""Shipping In Payout"""
"Default ""Include shipping tax in shipping amount""","Predeterminado ""Incluir el impuesto de envío en la cantidad de envío"""
"Default ""Statement subtotal calculation based on""","Predeterminado ""Cálculo del subtotal de la sentencia basado en"""
"Default ""Statement calculation based on""","Predeterminado ""Cálculo de estados basados ??en"""
"Default ""Statement on following shipment statuses""","Predeterminado ""Declaración sobre los siguientes estados de envío"""
Enable Refunds,Habilitar reembolsos
Customer Options,Opciones del cliente
Action on enable/disable vendor,Acción sobre habilitar / inhabilitar el proveedor
Action on delete vendor,Acción sobre eliminar proveedor
Customer Notification on Shipment Completion,Notificación del cliente al completar el envío
Customer Notification on Tracking ID,Notificación del cliente en el ID de seguimiento
Tracking ID Notification Template,Plantilla de notificación de ID de seguimiento
Tracking ID Notification Template for Guests,Plantilla de notificación de ID de seguimiento para invitados
Repeat tracking poll every ...,Repite seguimiento de encuesta cada ...
hours,horas
Poll Tracking API,API de seguimiento de encuestas
"Will periodically poll available carrier tracking APIs, and mark items as shipped only after receiving confirmation that the packages were picked up",Revisará periódicamente las API de seguimiento de proveedores disponibles y marcará los artículos como enviados sólo después de recibir la confirmación de que los paquetes se recogieron
Estimate Total Method,Método total estimado
Estimate Error Action,Acción de cálculo de error
This action will be taken if one or more of vendor carriers participating in estimate returns an error or no results,Esta acción se tomará si una o más de las compañías proveedoras que participan en la estimación devuelven un error o ningún resultado
Use Custom HTML Customer Address Template For Vendors,Utilizar la plantilla de dirección personalizada de cliente HTML para los proveedores
HTML Customer Address Template For Vendors,Plantilla de dirección de cliente HTML para proveedores
Use Custom PDF Customer Address Template For Vendors,Utilizar una plantilla de dirección personalizada de cliente PDF para proveedores
PDF Customer Address Template For Vendor,Plantilla de dirección de cliente PDF para el proveedor
Product Stock Options,Opciones de Stock de Producto
Vendor Decision Method,Método de decisión del proveedor
Vendor Decision Method For Reassign,Método de decisión del proveedor para la reasignación
When doing order items vendor reassign (Multivendor add-on) or manually creating PO (Advanced PO add-on) use this decision method to check vendors stock,Al realizar la reasignación de proveedores de artículos de pedido (complemento de Multivendor) o crear manualmente PO (complemento de PO avanzado) utilice este método de decisión para comprobar el stock de proveedores
Skip Stock Check For Reassign,Saltar cheque de existencias para reasignar
Skip Limit Address Check For Reassign,Saltar dirección de límite Verificar la reasignación
"Skip Bundle ""Ship Separately"" limitation",Salto de paquete
"By default to allow bundle items to be shipped separatelly all bundle specific options should be dynamic (Price, Weight, Ship Separately). This option skip that limitation and only ""Ship Separately"" considered. Using that option make sure your shipping calculation methods does not rely on weight. Also it could lead in some cases order/invoice totals to be calculated incorrectly. So use it very carefully.","Por defecto para permitir que los artículos del paquete sean enviados separadamente todas las opciones específicas del paquete deben ser dinámicas (precio, peso, nave separada). Esta opción omite esa limitación y sólo se considerará ""Enviar por separado"". Usando esa opción asegúrese de que sus métodos de cálculo de envío no dependen de peso. También podría llevar en algunos casos los totales de pedidos / facturas a calcularse incorrectamente. Así que úsalo con mucho cuidado."
Split Bundle by vendors,Split Bundle de los vendedores
Yes - will split bundle into multiple cart items by child items vendors,Sí - dividirá el paquete en varios artículos del carro por los vendedores de artículos secundarios
Show vendor sku column in vendor portal stock section,Mostrar columna de proveedor sku en la sección de existencias del portal de proveedores
Miscellaneous,Misceláneos
Email Transport,Transporte por correo electrónico
Poll Tracking Error Notifications Options,Opciones de las notificaciones de error de seguimiento de sondeo
Enabled,Habilitado 
Sender (email from identity),Remitente (correo electrónico de la identidad)
Receiver (store owner),Receptor (propietario de la tienda)
Label Request Failed Email Subject,Se ha producido un error en la solicitud de etiqueta
Label Request Failed Email Template,Plantilla de correo electrónico de solicitud de etiqueta errónea
Poll Tracking Failed Email Subject,Se ha producido un error en el seguimiento de encuestas
Poll Tracking Failed Email Template,Plantilla de correo electrónico fallido de seguimiento de encuestas
Poll Tracking Limit,Límite de seguimiento de encuestas
Poll Tracking Limit Exceeded Email Subject,Límite de seguimiento de encuesta excedido Asunto de correo electrónico
Poll Tracking Limit Exceeded Email Template,Límite de seguimiento de encuestas superado Plantilla de correo electrónico
Turn on udropship functionality explicitly,Activar la funcionalidad udropship explícitamente
Allow Free Shipping,Permitir el envío gratis
Allow Rule Based Free Shipping,Permitir el envío libre basado en reglas
Free methods,Métodos libres
Free Shipping with Minimum Order Amount,Envío gratuito con la cantidad mínima de la orden
Minimum Order Amount for Free Shipping,Cantidad mínima de pedido para envío gratuito
Calculate Handling Fee,Calcular la tarifa de manejo
Handling Fee,Tarifa de manipulación
Minimum Package Weight,Peso mínimo del paquete
Ship to applicable countries,Enviar a los países aplicables
Ship to Specific countries,Enviar a países específicos
Show Method if Not Applicable,Mostrar método si no es aplicable
Displayed error message,Mensaje de error mostrado
Sort order,Orden de clasificación
General,Generales 
Use Global settings for labels API,Utilizar la configuración global para etiquetas API
Shipping Labels,Etiquetas de envío
Dimension Units,Dimensiones
Default Package Length,Longitud predeterminada del paquete
Default Package Width,Ancho del paquete predeterminado
Default Package Height,Altura predeterminada del paquete
PDF Specific,Especificaciones de PDF
PDF Page Size,Tamaño de página PDF
PDF Page Width,Ancho de página PDF
PDF Page Height,Altura de página PDF
PDF Label Rotation,Rotación de etiquetas PDF
PDF Label Left Offset,Etiqueta PDF Desplazamiento a la izquierda
PDF Label Top Offset,Etiqueta PDF Desplazamiento superior
EPL Specific,Especificaciones de EPL
Enable Printing DocTab,Habilitar la impresión de DocTab
Fedex Settings,Configuración de Fedex
Test Mode,Test Mode
User Key,Clave de usuario
User Password,Contraseña de usuario 
Account Number,Número de Cuenta
Meter Number,"""Meter number"""
Smart Post Hub ID,ID del concentrador de Smart Post
Payment Type,Tipo de pago
3rd Party Account Number,Número de cuenta de terceros
3rd Party Contact Name,Nombre de contacto de terceros
3rd Party Company,Compañía de terceros
3rd Party Phone,Teléfono de terceros
Default Dry Ice Weight (KG),Peso del hielo seco predeterminado (KG)
Drop Off Type,Tipo de descenso
Label Stock Type,Tipo de archivo de etiqueta
PDF Label Width,Anchura de la etiqueta PDF
PDF Label Height,Altura de la etiqueta PDF
Signature Option,Opción de firma
Insurance,Seguro
Shipment notification types,Tipos de notificaciones de envío
Shipment notification email(s),Correo electrónico de notificación de envío
Comma separated,separados por comas
ITN (Internal Transaction Number),ITN (Número de transacción interna)
"For shipments requiring an EEI/SED, enter the ITN number received from AES when you filed your shipment or the FTR (Foreign Trade Regulations) exemption number.<br/>Proper format: <strong>AES XYYYYMMDDNNNNNN</strong> where YYYYMMDD is date and NNNNNN are numbers generated by the AES.<br/>Apply at <a href=""http://www.aesdirect.gov"">http://www.aesdirect.gov</a>","Para los envíos que requieren un EEI / SED, ingrese el número ITN recibido de AES cuando presentó su envío o el número de exención FTR (Foreign Trade Regulations). <br/> Formato apropiado: <strong> AES XYYYYMMDDNNNNNN </ strong> donde YYYYMMDD es Fecha y NNNNNN son números generados por el AES. <br/> Solicitar en <a href=""http://www.aesdirect.gov""> http://www.aesdirect.gov </a>"
Endicia Settings,Configuración de Endicia
Endicia API URL,URL de la API de Endicia
Label Test Mode,Modo de prueba de etiquetas
Requester ID,ID del Solicitante
Account ID,ID de la cuenta
Pass Phrase,Frase de paso
New Pass Phrase,Nueva frase de paso
Entering new passpharse will issue Endicia ChangePassPhraseXML API call,Al ingresar un nuevo passpharse se emitirá la llamada a Endicia ChangePassPhraseXML API
Confirm New Pass Phrase,Confirmar nueva frase de contraseña
Default Mail Class,Clase de correo predeterminada
Default Mail Piece Shape,Default Mail Piece Shape
Stealth,Sigilo
Delivery Confirmation,Confirmacion de envio
Signature Confirmation,Firma de confirmación
Return Receipt,Recibo de devolución
Electronic Return Receipt,Recibo electrónico de devolución
Insured Mail,Correo asegurado
Restricted Delivery,Entrega restringida
COD,Pago contra entrega (COD)
