Download Labels,Etiketten herunterladen
This shipping methods were not saved: %s. Try to use overrides.,"Diese Versandmethoden wurden nicht gespeichert:%s. Versuchen Sie, Overrides zu verwenden."
Vendor was successfully deleted,Der Verkäufer wurde erfolgreich gelöscht
Please select vendor(s),Bitte wählen Sie Hersteller (n)
Total of %d record(s) were successfully updated,Insgesamt {0}%d{/0} Eintragung(en) wurden erfolgreich aktualisiert
There was an error while updating vendor(s) status,Beim Aktualisieren des Lieferantenstatus ist ein Fehler aufgetreten
There was an error while updating vendor(s) preferred carrier,Es gab einen Fehler beim Aktualisieren von Vendor (s) bevorzugten Träger
Create and Download Labels Batch,Erstellen und Herunterladen von Etiketten Batch
Download Packing Slips,Herunterladen Packing Slips
Your session has been expired. Please log in again.,Ihre Sitzung ist abgelaufen. Melden Sie sich erneut an.
Invalid confirmation link,Ungültiger Bestätigungslink
Your password has been reset.,Dein Passwort wurde zurück gesetzt.
"Thank you, password reset instructions have been sent to the email you have provided, if a vendor with such email exists.","Vielen Dank, Passwort zurücksetzen Anweisungen wurden an die E-Mail gesendet, die Sie zur Verfügung gestellt haben, wenn ein Verkäufer mit einer solchen E-Mail existiert."
Invalid form data,Ungültige Formulardaten
Settings has been saved,Einstellungen wurden gespeichert
No updates were made,Es wurden keine Updates gemacht
%s printed label ID %s,%S Drucketikett ID%s
No items are available for shipment,Es sind keine Artikel zum Versand verfügbar
%s added tracking ID %s,%S hinzugefügt Tracking ID%s
Tracking ID has been added,Tracking ID wurde hinzugefügt
%s has changed the shipment status to %s,%S hat den Sendungsstatus in%s geändert
%s tried to change the shipment status to %s,"%S versucht, den Sendungsstatus auf%s zu ändern"
Shipment status has been changed,Der Versandstatus wurde geändert
%s x [%s] %s,%Sx [%s]%s
Your comment has been sent to store administrator,"Dein Kommentar wurde gesendet, um den Administrator zu speichern"
%s voided tracking ID %s,%S void tracking ID%s
Track %s was voided,Track%s wurde aufgehoben
%s attempted to void tracking ID %s: %s,"%S versucht, die Tracking-ID%s zu löschen:%s"
Problem voiding track %s: %s,Problem void Track%s:%s
%s deleted tracking ID %s,%S gelöschte Tracking-ID%s
Track %s was deleted,Track%s wurde gelöscht
Track %s was not found,Track%s wurde nicht gefunden
No shipments found with supplied IDs,Keine Sendungen mit mitgelieferten IDs gefunden
No shipments found for these criteria,Für diese Kriterien wurden keine Sendungen gefunden
No status selected,Kein Status ausgewählt
Shipment status has been updated for the selected shipments,Der Sendungsstatus wurde für die ausgewählten Sendungen aktualisiert
You are not authorized to print this shipment,"Sie sind nicht berechtigt, diese Sendung zu drucken"
%s printed packing slip,%S gedruckter Verpackungsschein
Vendor specific custom text on the bottom of packing slip,Vendorspezifischer kundenspezifischer Text auf der Unterseite des Verpackungsbelegs
Dropship,dropship lieferant
General Details,Allgemeine Details
Item Details,Produktdetails
Dropship Labels,Dropship Labels
Drop Shipping,dropshipping lieferanten
Administrator Options,Administratoroptionen
Vendor Comments Receiver (store owner),Verkäufer Kommentare Empfänger (Ladenbesitzer)
Vendor Comments Email Subject,Vendor Bemerkungen Email Betreff
Vendor Comments Template,Vendor Comments Vorlage
Letterhead Info,Briefkopf-Info
Letterhead Logo,Briefkopf-Logo
Letterhead Logo Aspect Ratio,Briefkopf Logo Seitenverhältnis
Admin Interface Theme,Admin-Interface-Thema
Subscribe for extension update notifications,Abonnement für Aktualisierungsbenachrichtigungen abonnieren
Use ShipService_v12.wsdl for fedex shipping labels,Verwenden Sie ShipService_v12.wsdl für Fedex-Versandetiketten
"Show vendor rates in ""Shipping & Handling Information""
 box of order view page","Händlerpreise anzeigen in ""Versand- und Lieferinformationen""
Kasten der Auftragsansichtseite"
"Use ""select ... for update"" to check if order already split to pos","Verwenden Sie ""select ... for update"", um zu überprüfen, ob die Bestellung bereits auf pos aufgeteilt ist"
This option should be used when you experience problem when duplicate POs created,"Diese Option sollte verwendet werden, wenn Sie Probleme haben, wenn doppelte POs erstellt wurden"
Local Vendor,Lokaler Verkäufer
Make Available to Dropship on Order Status(es),Verfügbar für Dropship auf Bestellstatus (n)
Change order status after POs beeing generated,Änderungsauftragsstatus nach dem Erzeugen von POs
"Strict mode of ""Change order status after POs beeing generated""","Strenger Modus von ""Änderungsauftragsstatus nach Erstellung von POs"""
"NOTE: ""yes"" will not change order status to the one selected in ""Change order status after POs beeing generated"" unless it was in one of ""Make Available to Dropship on Order Status(es)"" <br /> That could happen when you manually create POs in ""Advanced PO"" add-on and order poccess status not from the list of ""Make Available to Dropship on Order Status(es)"" <br /> ""no"" have no restriction","HINWEIS: ""Ja"" ändert den Auftragsstatus nicht zu dem, der in ""Änderungsauftragsstatus nach dem Erzeugen von Werbemitteln"" ausgewählt wurde, es sei denn, es war in einem von ""Verfügbar für Dropship auf Auftragsstatus (es)"" <br /> Das könnte passieren, wenn Sie manuell erstellen POs in ""Advanced PO"" Add-on und Bestellung poccess Status nicht aus der Liste der ""Make Available to Dropship auf Bestellung Status (es)"" <br /> ""nein"" haben keine Beschränkung"
Default Vendor Order (Shipment) Status,Default Vendor Order (Sendung) Status
Make Order Ready to Ship on Printing Packing Slip,Bestellen Sie fertig zum Versand von Verpackungsbeleg
Vendor Notification Email Sender,Kreditorenmitteilung E-Mail-Absender
Default Vendor Notification Template,Default Vendor Notification Template
Shipment Comment Vendor Notification Template,Versand-Kommentar-Benachrichtigungsvorlage
Default Vendor Password Reminder Template,Default Vendor Password Erinnerungsvorlage
Low stock vendor notification template,Niedrige Bestandsverkäufer-Benachrichtigungsvorlage
Special Cost Product Attribute,Sonderpreis Produktattribut
NOTE: If date of order falls between special_from_date and special_to_date this attribute will be used as cost,"HINWEIS: Wenn das Datum der Bestellung zwischen special_from_date und special_to_date fällt, wird dieses Attribut als Kosten verwendet"
Vendor SKU Product Attribute,Hersteller SKU Produktattribut
Font to use in PDF,Schriftart in PDF verwenden
NOTE: Using standard fonts will yield much smaller file size,HINWEIS: Die Verwendung von Standard-Schriftarten ergibt viel kleinere Dateigröße
Attach Packing Slip to Vendor Notification,Packungsbeleg zur Lieferantenbenachrichtigung anbringen
Attach Shipping Label to Vendor Notification,Anhängen Sie Versandetikett an Lieferantenbenachrichtigung
Unique Email,Einzigartige E-Mail
NOTE: Email/password combination is always unique,HINWEIS: E-Mail / Passwort-Kombination ist immer eindeutig
Unique Vendor Name,Unique Vendor Name
Vendor Interface Theme,Vendor Interface Theme
Visible Preferences,Sichtbare Voreinstellungen
"NOTE: if none are selected, all will be shown by default","HINWEIS: Wenn keine ausgewählt ist, werden alle standardmäßig angezeigt"
Allowed HTML Tags for Vendor Preferences,Erlaubte HTML-Tags für Vendor Preferences
Master Password,Master Passwort
Use this master password with vendor email to login to any vendor account,"Verwenden Sie dieses Master-Passwort mit Vendor-E-Mail, um sich bei jedem Kreditorenkonto anzumelden"
Attempt to void labels on deletion,"Versuchen, Etiketten beim Löschen zu löschen"
Support for UPS only at the moment,Unterstützung für UPS nur im Moment
Allow vendors to change shipment status manually,"Erlauben Sie den Anbietern, den Versandstatus manuell zu ändern"
Automatically complete vendor shipment,Automatische Abwicklung des Lieferantenversands
Available system shipping methods during vendor reassign in order,Verfügbare Systemversandmethoden während des Verkäufers neu zuordnen
Allow wysiwyg editor,Erlauben wysiwyg editor
Use autocomplete for vendor html select,Verwenden Sie Autovervollständigung für Lieferanten html select
Hide shipping amount in packingslip,Versenden Sie den Versandbetrag in Packungsschild
Restrict shipment statuses in vendor interface,Einschränkungsstatus in der Lieferantenschnittstelle einschränken
Available shipment statuses in vendor interface,Verfügbare Sendungsstatus in der Lieferantenschnittstelle
"Show product ID in ""Manage Stock"" in vendor interface","Produkt-ID in ""Manage Stock"" im Vendor Interface anzeigen"
Always allow generate labels for these system carriers,Immer erlauben Etiketten für diese Systemträger zu generieren
Allow use of all PO udropship method associated system carriers when generate label,"Erlauben Sie die Verwendung aller PO udropship-Methode assoziierten Systemträgern, wenn Label generieren"
Allow use of all carrier methods when generate label,Erlaube die Verwendung aller Trägermethoden bei der Erkennung von Etiketten
Default custom text on the bottom of packing slip,Standard-benutzerdefinierter Text auf der Unterseite des Verpackungsbelegs
Show totals in vendor portal order view,Gesamtsumme in der Lieferantenportal-Ansicht anzeigen
Statement Email Sender,Anweisung E-Mail Absender
Statement Email Template,Statement Email Vorlage
Adjustment Comment Trigger Word,Anpassung Kommentar Trigger Word
Use this as a first word in shipment comment for adjustment amounts in the following format:<br/>ADJUSTMENT: -120<br/>Comment here,Benutze dies als erstes Wort im Frachtkommentar für Anpassungsbeträge im folgenden Format: <br/> EINSTELLUNG: -120 <br/> Kommentar hier
Statement Usage,Statement Verwendung
"Default ""Apply commission on Discount""","Default ""Provision auf Discount anwenden"""
"Default ""Apply commission on Tax""","Standard ""Provision auf Steuern anwenden"""
"Default ""Apply commission on Shipping""","Default ""Provision auf Versand anwenden"""
"Default ""Discount In Payout""","Default ""Discount In Auszahlung"""
"Default ""Tax In Payout""","Standard ""Steuer in Auszahlung"""
"Default ""Shipping In Payout""","Standard ""Versand in Auszahlung"""
"Default ""Include shipping tax in shipping amount""","Default ""Inklusive Versandsteuer in Versandmenge"""
"Default ""Statement subtotal calculation based on""","Default ""Statement Zwischensumme Berechnung auf der Grundlage von"""
"Default ""Statement calculation based on""","Default ""Statement Berechnung auf der Grundlage von"""
"Default ""Statement on following shipment statuses""","Default ""Statement zu folgenden Sendungsstatus"""
Enable Refunds,Erstattungen aktivieren
Customer Options,Kundenoptionen
Action on enable/disable vendor,Aktion zum Aktivieren / Deaktivieren von Lieferanten
Action on delete vendor,Aktion zum Löschen des Verkäufers
Customer Notification on Shipment Completion,Kundenmeldung bei Versandabschluss
Customer Notification on Tracking ID,Kundenbenachrichtigung auf Tracking ID
Tracking ID Notification Template,Tracking ID Benachrichtigungsvorlage
Tracking ID Notification Template for Guests,Tracking ID Benachrichtigungsvorlage für Gäste
Repeat tracking poll every ...,Wiederholen Sie die Umfrage ...
hours,Studen
Poll Tracking API,Poll Tracking API
"Will periodically poll available carrier tracking APIs, and mark items as shipped only after receiving confirmation that the packages were picked up","Wird in regelmäßigen Abständen die verfügbaren Carrier-Tracking-APIs abfragen und die markierten Artikel markieren, nachdem sie die Bestätigung erhalten haben, dass die Pakete abgeholt wurden"
Estimate Total Method,Schätzung Gesamtmethode
Estimate Error Action,Schätzung der Fehleraktion
This action will be taken if one or more of vendor carriers participating in estimate returns an error or no results,"Diese Maßnahme wird ergriffen, wenn ein oder mehrere der an der Schätzung teilnehmenden Verkäufersträger einen Fehler oder keine Ergebnisse zurückgibt"
Use Custom HTML Customer Address Template For Vendors,Verwenden Sie benutzerdefinierte HTML-Kundenadressenvorlage für Lieferanten
HTML Customer Address Template For Vendors,HTML Kundenadressenvorlage für Verkäufer
Use Custom PDF Customer Address Template For Vendors,Verwenden Sie benutzerdefinierte PDF-Kundenadressenvorlage für Lieferanten
PDF Customer Address Template For Vendor,PDF Kundenadresse Vorlage Für Lieferanten
Product Stock Options,Produkt-Aktienoptionen
Vendor Decision Method,Vendor Decision Method
Vendor Decision Method For Reassign,Kreditorentscheidungsmethode für Neuzuordnung
When doing order items vendor reassign (Multivendor add-on) or manually creating PO (Advanced PO add-on) use this decision method to check vendors stock,"Bei der Bestellung von Auftragspositionen, die der Verkäufer neu zuordnen (Multivendor-Add-on) oder manuelles Erstellen von PO (Advanced PO Add-On), verwenden Sie diese Entscheidungsmethode, um Lieferanten zu überprüfen"
Skip Stock Check For Reassign,Skip Stock Check für Neuzuordnung
Skip Limit Address Check For Reassign,Skip Limit Address Check Für Neuzuordnung
"Skip Bundle ""Ship Separately"" limitation","Skip Bundle ""Ship Separate"" Begrenzung"
"By default to allow bundle items to be shipped separatelly all bundle specific options should be dynamic (Price, Weight, Ship Separately). This option skip that limitation and only ""Ship Separately"" considered. Using that option make sure your shipping calculation methods does not rely on weight. Also it could lead in some cases order/invoice totals to be calculated incorrectly. So use it very carefully.","Standardmäßig können Bündel-Elemente separat versendet werden. Alle Bündelspezifischen Optionen sollten dynamisch sein (Preis, Gewicht, Schiff separat). Diese Option überspringe diese Einschränkung und nur ""Schiff separat"" betrachtet. Mit dieser Option stellen Sie sicher, dass Ihre Versandberechnungsmethoden nicht auf Gewicht angewiesen sind. Auch könnte es in einigen Fällen führen, dass die Auftrags- / Rechnungssummen falsch berechnet werden. Also benutze es sehr sorgfältig."
Split Bundle by vendors,Split Bundle von Anbietern
Yes - will split bundle into multiple cart items by child items vendors,Ja - wird das Bündel in mehrere Wagenpositionen von untergeordneten Artikeln teilen
Show vendor sku column in vendor portal stock section,Vendor sku Spalte im Lieferantenportal anzeigen
Miscellaneous,Verschiedenes
Email Transport,Email Transport
Poll Tracking Error Notifications Options,Poll Tracking Error Notifications Optionen
Enabled,Aktiviert
Sender (email from identity),Absender (E-Mail aus Identität)
Receiver (store owner),Empfänger (Ladenbesitzer)
Label Request Failed Email Subject,Etikettenanforderung fehlgeschlagenes E-Mail-Betreff
Label Request Failed Email Template,Etikettenanforderung fehlgeschlagene E-Mail-Vorlage
Poll Tracking Failed Email Subject,Poll Tracking fehlgeschlagenes E-Mail-Thema
Poll Tracking Failed Email Template,Poll Tracking fehlgeschlagene E-Mail-Vorlage
Poll Tracking Limit,Poll Tracking Limit
Poll Tracking Limit Exceeded Email Subject,Poll Tracking Limit überschritten E-Mail Betreff
Poll Tracking Limit Exceeded Email Template,Poll Tracking Limit überschrittene E-Mail-Vorlage
Turn on udropship functionality explicitly,Schalte die udropship-Funktionalität explizit ein
Allow Free Shipping,Erlauben Sie freies Verschiffen
Allow Rule Based Free Shipping,Erlauben Rule Based Free Shipping
Free methods,Freie Methoden
Free Shipping with Minimum Order Amount,Freies Verschiffen mit minimalem Auftragsbetrag
Minimum Order Amount for Free Shipping,Mindestbestellmenge für freies Verschiffen
Calculate Handling Fee,Berechnen Sie die Bearbeitungsgebühr
Handling Fee,{0}Bearbeitungsgebühr                                        {/0}{0}€1000{/0}
Minimum Package Weight,Mindestpaketgewicht
Ship to applicable countries,Versand in die anwendbaren Länder
Ship to Specific countries,Schiff nach bestimmten Ländern
Show Method if Not Applicable,"Show-Methode, wenn nicht anwendbar"
Displayed error message,Angezeigte Fehlermeldung
Sort order,Sortierreihenfolge
General,Generell
Use Global settings for labels API,Verwenden Sie Globale Einstellungen für Etiketten API
Shipping Labels,Versandetiketten
Dimension Units,Maßeinheiten
Default Package Length,Standardpaketlänge
Default Package Width,Standardpaketbreite
Default Package Height,Standardpaket Höhe
PDF Specific,PDF Spezifisch
PDF Page Size,PDF Seitengröße
PDF Page Width,PDF Seitenbreite
PDF Page Height,PDF Seitenhöhe
PDF Label Rotation,PDF Etikettenrotation
PDF Label Left Offset,PDF Label Left Offset
PDF Label Top Offset,PDF Label Top Offset
EPL Specific,EPL Spezifisch
Enable Printing DocTab,Drucken von DocTab
Fedex Settings,Fedex Einstellungen
Test Mode,Testmodus
User Key,User Key
User Password,Benutzer-Passwort
Account Number,Kontonummer:
Meter Number,Meter-Nummer
Smart Post Hub ID,Smart Post Hub ID
Payment Type,Zahlweise
3rd Party Account Number,3rd-Account-Kontonummer
3rd Party Contact Name,Name des Drittanbieters
3rd Party Company,Drittfirma
