Download Labels,Scarica Etichette
Send Confirmation Email,Invia email di conferma
Resending confirmation email will reset password (revoke old one). New password will be sent to vendor in separate email once he click at the link in this confirmation email.,Nuovo invio di e-mail di conferma verrà reimpostare la password (revocare vecchio). La nuova password verrà inviata al fornitore in email separato una volta che cliccare al link in questa e-mail di conferma.
Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email.,Invia mail di conferma. Password verrà inviata al fornitore in email separato una volta che cliccare al link in questa e-mail di conferma.
Waiting for email confirmation,In attesa di conferma e-mail
No,No
Yes,Si
Preferred Carrier,Carrier preferito
Use Rates Fallback Chain,Utilizzare Tariffe Fallback Catena
Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier,Cercherà di trovare tasso di stima disponibile per le modalità di spedizione dropship al fine <br> 1. Stima Carrier <br> 2. Override Carrier <br> 3. Carrier predefinito
Vendor Email,venditore Email
Email is also used as username,E-mail viene utilizzato anche come nome utente
New Password,nuova password
Leave empty for no change,Lasciare vuoto per nessun cambiamento
Log In Password,Login/password
Login disabled if empty,Entra disabilitata se vuota
Vendor Telephone,venditore Telefono
Phone number is required for FedEx label printing,Numero di telefono è richiesto per la stampa di etichette FedEx
Vendor Fax,venditore Fax
Use Default Configuration,Configurazione Usa predefinito
Notification Template,Notifica Template
Allow shipping extra charge,Permette il trasporto a pagamento
Default shipping extra charge suffix,suffisso costo aggiuntivo di trasporto di difetto
Default shipping extra charge type,trasporto di difetto tipo supplemento
Default shipping extra charge,predefinito di trasporto a pagamento
Is extra charge shipping default,È predefinito il trasporto a pagamento
URL friendly identifier,URL identificativo amichevole
Please select state...,Si prega di selezionare la provincia!
Shipping Origin Address,Indirizzo di spedizione Origin
Attention To,Attenzione al
Street,strada
City,Città
Zip / Postal code,Codice postale
Country,Nazione
Please select Country,Selezionare Paese:
State,Stato
Please select State,Si prega di selezionare la provincia!
Billing Address,Indirizzo di fatturazione
Same as Shipping,Uguale Spedizione
Leave empty to use shipping origin,Lasciare vuoto per usare origine il trasporto
Email,E-mail
Leave empty to use default,Lasciare vuoto per utilizzare di default
Telephone,Telefono
Fax,Fax 
Name,Nome
SKU,SKU
Vendor SKU,venditore SKU
Price,Prezzo
Vendor Cost,venditore Costo
Vendor Price,venditore Prezzo
Vendor Title,venditore Titolo
State/Condition,Stato / Condizione
Backorders,ORDINI INEVASI
Vendor Stock Qty,Venditore Disponibilità Quantità
Availability State,Stato Disponibilità
Availability Date,Data di disponibilità
Special Price,Prezzo speciale
Priority,Priorità
Code,Codice
Extra Charge,Costo aggiuntivo
* Use Default,* Usa predefinito
Estimate Carrier,Carrier stima
* Use Estimate,* Utilizzare Stima
Carrier Override,Override Carrier
Default,Predefinito
Manage Vendors,gestire fornitori
Vendor Information,Informazioni venditore
Preferences,Preferenze
Shipping methods,Metodi di spedizione.
Associated Products,Prodotti associati
Save Vendor,Salva Venditore
Save and Continue Edit,Salva e continua Edit
Delete Vendor,Eliminare Venditore
Edit Vendor '%s,Modifica del fornitore '%s
New Vendor,Nuovo Venditore
Vendor ID,Vendor ID
Distributor,Distributore
Used Carrier,Carrier Usato
Shipping Profile,Profilo spedizione
Change status,Cambiare stato
Change Preferred Carrier,Cambiare l'elemento portante preferito
Change Shipping Profile,Modifica profilo Spedizione
WYSIWYG Editor,Editor WYSIWYG
Use Default,Usa predefinito
Allow Extra Charge,Consenti Supplemento
From Date,Da Data
To Date,A Data
Includes Reserved Qty,Include Quantità riservati
Add Adjustment,Aggiungere Regolazione
Add,Aggiungere
Adjustment ID,Regolazione ID
PO ID,PO ID
PO Type,Tipo PO
Amount,Quantità
Username,Nome Utente
Comment,Commento
Statement Info,dichiarazione Info
Statement ID,ID Statement
Po Type,Tipo Po
Number of Orders,Numero di ordini
Total Payout,Vincita totale
Total Paid,Totale pagato
Total Due,Totale dovuto
Total Invoice,Fattura Totale
Notes,Gli appunti
Adjustment,(Regolazione)
Payout ID,ID payout
Payout Type,Tipo payout
Payout Status,payout Stato
Transaction ID,ID transazione
# of Orders,# Degli Ordini
Order ID,Numero ordine
Refund ID,ID rimborso
Refund Date,rimborso Data
Subtotal,totale parziale
Com Amount,com Importo
Tax,Imposta
Shipping,Spedizione.
Discount,Sconto
Total Refund,rimborso totale
PO Ready Date,PO Pronto Data
Trans Fee,Fee Trans
Paid,Pagato
Manage Statements,gestire Dichiarazioni
Statement Information,Informazioni Statement
Payouts,Pagamenti
Rows,Righe
Refunds,rimborsi
Adjustments,Regolazioni per costo dei cambi di valut
Delete Statement,DELETE
Save and Pay,Salva e Pay
Save and Refresh,Salva e Aggiorna
Statement,Dichiarazione
Period,Periodo
Total Payment,Totale di pagamento
Sent,Inviato
Deleting selected statement(s). Are you sure?,L'eliminazione di dichiarazione selezionato (s). Sei sicuro?
Refresh,Aggiorna
Download/Print,Scarica / Stampa
Send Emails,Invia mail
Emailing selected statement(s) to vendors. Are you sure?,Emailing dichiarazioni selezionato (s) ai fornitori. Sei sicuro?
Statements Generation Criteria,Dichiarazioni Criteri Generation
Vendor Selection,Selezione fornitore
All Active Vendors,Tutti i venditori attivi
Selected Vendors,I fornitori selezionati
Vendors,Fornitori
Orders From Date,Ordini Da Data
Orders To Date,Ordini a Data
Use Locale Timezone,Utilizzare Locale Fuso orario
Statement Period,Periodo Statement
"If empty, will take YYMM of ""Orders From Date","Se vuoto, avrà AAMM di ""Ordini Da Data"
Generate Statements,generare istruzioni
Generate Vendor Statements,Generare istruzioni del fornitore
Vendor Statements,Le dichiarazioni del fornitore
Add New Vendor,Aggiungi nuovo fornitore
* Use PO carrier *,* Carrier Usa PO *
Custom Value,Valore personalizzato
Images (%s),Immagini (%s)
Media Storage,media Storage
Create Folder...,Crea cartella
Delete Folder,Elimina cartella
Delete File,Cancella file
Insert File,Inserisci file
New Folder Name:,Nuovo nome della cartella
Are you sure you want to delete current folder?,Sei sicuro di voler eliminare cartella corrente?
Are you sure you want to delete the selected file?,Sei sicuro di voler eliminare il file selezionato?
Storage Root,radice di archiviazione
Invalid username or password.,Password o nome utente non valido.
Login and password are required,Login e password sono necessari
Report,Segnala
Shipment has been marked as complete,La spedizione è stata segnata come completo
There was a problem marking this shipment as complete: ,C'era una marcatura questa spedizione il più completo problema: 
Invalid shipment ID supplied,ID spedizione non valido in dotazione
This shipment no longer exists.,Questa spedizione non esiste più.
Comment text field cannot be empty.,campo di testo commento non può essere vuoto.
Canceled shipment cannot be reverted,Annullato spedizione non può essere ripristinato
%s\n\n[%s has changed the shipment status to %s],%S \ n \ n [%s ha cambiato lo status della spedizione al%s]
%s\n\n[%s tried to change the shipment status to %s],%S \ n \ n [%s ha cercato di cambiare lo stato della spedizione al%s]
Cannot add new comment.,Impossibile aggiungere un nuovo commento.
%s notifications sent.,%s notifiche inviate.
Problems during notifications resend.,Problemi durante notifiche risenta di.
Shipping Methods,Metodi di spedizione.
"Only one system method could be selected when using ""* Any available"" wildcard method","Solo un metodo sistema potrebbe essere selezionato quando si utilizza ""* Qualsiasi disponibile"" metodo jolly"
Shipping Method was successfully saved,Metodo di Spedizione è stato salvato con successo
Shipping Method was successfully deleted,Metodo di Spedizione è stato cancellato con successo
Please select shipping method(s),Si prega di selezionare il metodo di (s) il trasporto
Total of %d record(s) were successfully deleted,Totale del disco%d (s) sono stati cancellati con successo
Generate,creare
"All done, <a href=""%s"">click here</a> to be redirected to statements grid.","Tutto fatto, <a href=""%s""> clicca qui </a> per essere reindirizzati alle dichiarazioni griglia."
Statements,Dichiarazioni:
Statement was successfully refreshed,Dichiarazione è stata aggiornata con successo
Statement '%s' no longer exists,Dichiarazione '%s' non esiste più
Statement was successfully saved,Dichiarazione è stata salvata con successo
Statement was successfully deleted,Dichiarazione è stata eliminata con successo
Please select statement(s),Si prega di selezionare statement (s)
Total of %d record(s) were successfully refreshed,Totale del disco%d (s) sono stati rinfrescato con successo
No statements found to print,Non ci sono le dichiarazioni contenute per la stampa
There was an error while download vendor statement(s): %s,Si è verificato un errore durante la dichiarazione di scaricare vendor (s):%s
Total of %d statement(s) have been sent,Totale%d statement (s) sono stati inviati
Vendor was successfully saved,Venditore è stato salvato con successo
This shipping methods were not saved: %s. Try to use overrides.,Questo metodo di spedizione non sono state salvate:%s.Cercate di utilizzare le sostituzioni.
Vendor was successfully deleted,Venditore è stato eliminato con successo
Please select vendor(s),Si prega di selezionare vendor (s)
Total of %d record(s) were successfully updated,Totale del disco%d (s) sono stati aggiornati con successo
There was an error while updating vendor(s) status,Si è verificato un errore durante l'aggiornamento di stato vendor (s)
There was an error while updating vendor(s) preferred carrier,Si è verificato un errore durante l'aggiornamento del fornitore (s) vettore preferito
Create and Download Labels Batch,Creare e scaricare Etichette Batch
Download Packing Slips,Slips Scarica imballaggio
Your session has been expired. Please log in again.,La sessione è scaduta. Effettua nuovamente l'accesso.
Invalid confirmation link,link di conferma non valido
Your password has been reset.,La tua password è stata resettata.
"Thank you, password reset instructions have been sent to the email you have provided, if a vendor with such email exists.","Grazie, istruzioni per la reimpostazione della password sono stati inviati all'indirizzo e-mail che ci avete fornito, se un fornitore con tale email esiste."
Invalid form data,dati del modulo non valido
Settings has been saved,Impostazioni è stato salvato
No updates were made,Nessun aggiornamento sono state fatte
%s printed label ID %s,%S stampata ID label%s
No items are available for shipment,Non ci sono articoli sono disponibili per la spedizione
%s added tracking ID %s,%S aggiunto il monitoraggio ID%s
Tracking ID has been added,ID di tracciamento è stato aggiunto
%s has changed the shipment status to %s,%S ha cambiato lo status della spedizione al%s
%s tried to change the shipment status to %s,%S ha cercato di cambiare lo stato della spedizione al%s
Shipment status has been changed,lo stato della spedizione è stato modificato
%s x [%s] %s,%Sx [%s]%s
Your comment has been sent to store administrator,Il tuo commento è stato inviato per memorizzare amministratore
%s voided tracking ID %s,%S annullata monitoraggio ID%s
Track %s was voided,Traccia%s è stato annullato
%s attempted to void tracking ID %s: %s,%S ha tentato di annullare il monitoraggio ID%s:%s
Problem voiding track %s: %s,Problema pista invalidare%s:%s
%s deleted tracking ID %s,%S cancellato ID di tracciamento%s
Track %s was deleted,Traccia%s è stata eliminata
Track %s was not found,Traccia%s non è stato trovato
No shipments found with supplied IDs,Nessuna spedizione trovati con ID in dotazione
No shipments found for these criteria,Nessuna spedizione trovato per questi criteri
No status selected,Nessuno stato selezionato
Shipment status has been updated for the selected shipments,lo stato della spedizione è stato aggiornato per le spedizioni selezionati
You are not authorized to print this shipment,Non sei autorizzato a stampare questa spedizione
%s printed packing slip,%S bolla di accompagnamento stampati
Vendor specific custom text on the bottom of packing slip,Venditore testo specifico personalizzato sul fondo della bolla di accompagnamento
Dropship,dropship
General Details,Dettagli generali
Item Details,Dettagli articolo
Dropship Labels,Etichette dropship
Drop Shipping,dropshipping
Administrator Options,Opzioni amministratore
Vendor Comments Receiver (store owner),Venditore Commenti Ricevitore (proprietario del negozio)
Vendor Comments Email Subject,Venditore Commenti Email Soggetto
Vendor Comments Template,Venditore Commenti Template
Letterhead Info,Info intestata
Letterhead Logo,Logo intestata
Letterhead Logo Aspect Ratio,Carta intestata Logo Aspect Ratio
Admin Interface Theme,Interfaccia di amministrazione Tema
Subscribe for extension update notifications,Iscriviti per le notifiche di aggiornamento di estensione
Use ShipService_v12.wsdl for fedex shipping labels,Utilizzare ShipService_v12.wsdl per etichette di spedizione FedEx
"Show vendor rates in ""Shipping & Handling Information""
 box of order view page","Mostra i tassi di vendor in ""Spedizione & trattare informazioni""
scatola di pagina di visualizzazione ordine"
"Use ""select ... for update"" to check if order already split to pos","Utilizzare ""select ... per l'aggiornamento"" per verificare se l'ordine già diviso per pos"
This option should be used when you experience problem when duplicate POs created,Questa opzione dovrebbe essere utilizzata quando si verificano problemi quando OP duplicati creati
Local Vendor,rivenditore locale
Make Available to Dropship on Order Status(es),Mette a disposizione di Dropship su Order Status (es)
Change order status after POs beeing generated,Modifica stato ordine dopo le OP beeing generato
"Strict mode of ""Change order status after POs beeing generated""","Modalità rigorosa di ""status Modifica ordine dopo le OP beeing generato"""
"NOTE: ""yes"" will not change order status to the one selected in ""Change order status after POs beeing generated"" unless it was in one of ""Make Available to Dropship on Order Status(es)"" <br /> That could happen when you manually create POs in ""Advanced PO"" add-on and order poccess status not from the list of ""Make Available to Dropship on Order Status(es)"" <br /> ""no"" have no restriction","NOTA: ""sì"" non cambierà lo stato dell'ordine a quello selezionato in ""stato di Modifica ordine dopo le OP beeing generato"" a meno che non era in una delle ""mettere a disposizione Dropship su Order Status (es)"" <br /> Questo potrebbe accadere quando si crea manualmente le OP a ""PO avanzata"" add-on e stato dell'ordine poccess non dalla lista di ""mettere a disposizione Dropship su Order Status (es)"" <br /> ""no"" non hanno alcuna restrizione"
Default Vendor Order (Shipment) Status,Venditore Default Acquisto (spedizione) Stato
Make Order Ready to Ship on Printing Packing Slip,Fare ordine pronto a spedire il documento di trasporto di stampa
Vendor Notification Email Sender,Fornitore di notifica Email Sender
Default Vendor Notification Template,Predefinito di notifica fornitore Template
Shipment Comment Vendor Notification Template,La spedizione Commento di notifica fornitore Template
Default Vendor Password Reminder Template,Venditore Password predefinita Promemoria Template
Low stock vendor notification template,modello di notifica Pochi vendor
Special Cost Product Attribute,Costo speciale attributo del prodotto
NOTE: If date of order falls between special_from_date and special_to_date this attribute will be used as cost,NOTA: Se data dell'ordine rientra tra special_from_date e special_to_date questo attributo sarà utilizzato come costo
Vendor SKU Product Attribute,Venditore SKU attributi del prodotto
Font to use in PDF,Font da usare in PDF
NOTE: Using standard fonts will yield much smaller file size,NOTA: Utilizzando font standard produrrà file di dimensioni molto più piccole
Attach Packing Slip to Vendor Notification,Fissare sulla bolla di accompagnamento al fornitore di notifica
Attach Shipping Label to Vendor Notification,Fissare etichetta di spedizione al fornitore di notifica
Unique Email,unico e-mail
NOTE: Email/password combination is always unique,NOTA: Email combinazione / password è sempre unica
Unique Vendor Name,Nome fornitore unico
Vendor Interface Theme,Venditore Interfaccia Tema
Visible Preferences,Preferenze visibili
"NOTE: if none are selected, all will be shown by default","NOTA: se nessuno è selezionata, tutto verrà mostrato di default"
Allowed HTML Tags for Vendor Preferences,Elementi HTML permessi per le preferenze del fornitore
Master Password,Password principale
Use this master password with vendor email to login to any vendor account,Utilizzare questa password master con la posta elettronica fornitore per accedere a qualsiasi account venditore
Attempt to void labels on deletion,Tentativo di annullare etichette su eliminazione
Support for UPS only at the moment,Supporto per UPS solo al momento
Allow vendors to change shipment status manually,Consentire fornitori di cambiare manualmente lo stato della spedizione
Automatically complete vendor shipment,spedizione vendor automaticamente completa
Available system shipping methods during vendor reassign in order,Disponibili metodi di spedizione sistema durante venditore di riassegnare al fine
Allow wysiwyg editor,Consenti editor WYSIWYG
Use autocomplete for vendor html select,Usa completamento automatico per il fornitore html selezionare
Hide shipping amount in packingslip,Nascondere la spedizione importo in packingslip
Restrict shipment statuses in vendor interface,Limitare gli stati spedizione nell'interfaccia fornitore
Available shipment statuses in vendor interface,stati spedizione disponibili nell'interfaccia fornitore
"Show product ID in ""Manage Stock"" in vendor interface","ID Mostra i prodotti in ""Gestione della"" nell'interfaccia vendor"
Always allow generate labels for these system carriers,consentire sempre generare etichette per questi vettori di sistema
Allow use of all PO udropship method associated system carriers when generate label,Consentire l'uso di tutti i vettori metodo associato sistema PO udropship quando generare etichetta
Allow use of all carrier methods when generate label,Consentire l'uso di tutti i metodi di supporto quando generare l'etichetta
Default custom text on the bottom of packing slip,testo personalizzato di default sul fondo della bolla di accompagnamento
Show totals in vendor portal order view,Mostra i totali in vista vendor ordine portale
Statement Email Sender,Dichiarazione Email Sender
Statement Email Template,Dichiarazione Email Template
Adjustment Comment Trigger Word,Regolazione Commento trigger Word
Use this as a first word in shipment comment for adjustment amounts in the following format:<br/>ADJUSTMENT: -120<br/>Comment here,Utilizzare questo come una prima parola nella spedizione commento per importi di regolazione nel seguente formato: REGOLAZIONE <br/>: -120 <br/> commento qui
Statement Usage,dichiarazione di Uso
"Default ""Apply commission on Discount""","Default ""Applicare commissione su Discount"""
"Default ""Apply commission on Tax""","Default ""Applicare commissione sulle imposte"""
"Default ""Apply commission on Shipping""","Default ""Applicare Commissione sul trasporto"""
"Default ""Discount In Payout""","Default ""Sconto In Payout"""
"Default ""Tax In Payout""","Default ""Tax In Payout"""
"Default ""Shipping In Payout""","Default ""Spedizione in Payout"""
"Default ""Include shipping tax in shipping amount""","Default ""includono la tassa di spedizione in quantità shipping"""
"Default ""Statement subtotal calculation based on""","Default ""Dichiarazione di calcolo subtotale sulla base di"""
"Default ""Statement calculation based on""","Default ""di calcolo economico in base"""
"Default ""Statement on following shipment statuses""","Default ""Dichiarazione sulla seguenti status della spedizione"""
Enable Refunds,Abilita rimborsi
Customer Options,le opzioni del cliente
Action on enable/disable vendor,Azione sulla abilitare / disabilitare il fornitore
Action on delete vendor,Azione sul fornitore di eliminazione
Customer Notification on Shipment Completion,Notifica dei clienti sulla spedizione Completamento
Customer Notification on Tracking ID,Notifica clienti al monitoraggio ID
Tracking ID Notification Template,ID di tracciamento notifica Template
Tracking ID Notification Template for Guests,Monitoraggio ID notifica Template per ospiti
Repeat tracking poll every ...,sondaggio di monitoraggio Ripeti ogni ...
hours,ore
Poll Tracking API,Sondaggio API di monitoraggio
"Will periodically poll available carrier tracking APIs, and mark items as shipped only after receiving confirmation that the packages were picked up","Periodicamente il polling disponibili le API di monitoraggio portante, e contrassegnare gli elementi come spedito solo dopo aver ricevuto la conferma che i pacchetti sono stati raccolti"
Estimate Total Method,Stima Metodo totale
Estimate Error Action,Stima Azione Errore
This action will be taken if one or more of vendor carriers participating in estimate returns an error or no results,Questa azione sarà presa se uno o più dei vettori vendor che partecipano a stima restituisce un errore o nessun risultato
Use Custom HTML Customer Address Template For Vendors,Utilizzare HTML personalizzato Indirizzo cliente Template per i venditori
HTML Customer Address Template For Vendors,HTML Indirizzo cliente Template per i venditori
Use Custom PDF Customer Address Template For Vendors,Utilizzare personalizzato PDF Indirizzo cliente Template per i venditori
PDF Customer Address Template For Vendor,PDF Indirizzo cliente Template per il fornitore
Product Stock Options,Opzioni Prodotto archivio
Vendor Decision Method,Metodo decisione del fornitore
Vendor Decision Method For Reassign,Venditore decisione Metodo per Riassegnare
When doing order items vendor reassign (Multivendor add-on) or manually creating PO (Advanced PO add-on) use this decision method to check vendors stock,Nel fare gli articoli di ordine fornitore riassegnare (Multivendor add-on) o manualmente la creazione di PO (Advanced PO add-on) utilizzare questo metodo decisione per controllare i venditori magazzino
Skip Stock Check For Reassign,Skip della Controllare Per Riassegnare
Skip Limit Address Check For Reassign,Salta Limite controllo indirizzo Per Riassegnare
"Skip Bundle ""Ship Separately"" limitation","Skip Bundle limitazione ""Nave separatamente"""
"By default to allow bundle items to be shipped separatelly all bundle specific options should be dynamic (Price, Weight, Ship Separately). This option skip that limitation and only ""Ship Separately"" considered. Using that option make sure your shipping calculation methods does not rely on weight. Also it could lead in some cases order/invoice totals to be calculated incorrectly. So use it very carefully.","Per impostazione predefinita, per consentire gli elementi del pacco da spedire dovrebbe essere dinamica (prezzo, peso, Nave separatamente) opzioni specifiche separatelly tutto fascio. Questa opzione saltare questa limitazione e solo ""Nave Separatamente"" considerato.Utilizzando questa opzione assicurarsi che i metodi di calcolo il trasporto non si basa su di peso.Inoltre potrebbe portare in alcuni casi totali di ordine / fattura deve essere calcolato in modo non corretto. In modo da utilizzare con molta attenzione."
Split Bundle by vendors,Split Bundle da fornitori
Yes - will split bundle into multiple cart items by child items vendors,Sì - si dividerà raggruppare in più voci della spesa per gli elementi figlio fornitori
Show vendor sku column in vendor portal stock section,Visualizza vendor colonna sku in vendor sezione del portale magazzino
Miscellaneous,miscellaneo
Email Transport,Email Trasporti
Poll Tracking Error Notifications Options,Notifiche Sondaggio tracking error Opzioni
Enabled,Abilitato
Sender (email from identity),Sender (e-mail da identità)
Receiver (store owner),Ricevitore (proprietario del negozio)
Label Request Failed Email Subject,Etichetta Richiesta non riuscita Oggetto email
Label Request Failed Email Template,Etichetta Richiesta non riuscita Modello di email
Poll Tracking Failed Email Subject,Sondaggio monitoraggio non riuscita Oggetto email
Poll Tracking Failed Email Template,Sondaggio di monitoraggio non riuscita Email Template
Poll Tracking Limit,Limite di monitoraggio Sondaggio
Poll Tracking Limit Exceeded Email Subject,Sondaggio monitoraggio Superato il limite Email Soggetto
Poll Tracking Limit Exceeded Email Template,Sondaggio monitoraggio Superato il limite Email Template
Turn on udropship functionality explicitly,Attivare la funzionalità udropship esplicitamente
Allow Free Shipping,Permette il trasporto libero
Allow Rule Based Free Shipping,Consenti regola basata spedizione gratuita
Free methods,metodi liberi
Free Shipping with Minimum Order Amount,Trasporto libero con acquisto minimo
Minimum Order Amount for Free Shipping,Importo minimo di ordine per trasporto libero
Calculate Handling Fee,Calcola Tassa d'istruzione
Handling Fee,Diritto di Gestione 
Minimum Package Weight,Pacchetto minimo di peso
Ship to applicable countries,Ship to Paesi Applicabili
Ship to Specific countries,Nave a paesi specifici
Show Method if Not Applicable,Visualizza metodo se non applicabile
Displayed error message,messaggio di errore visualizzato
Sort order,Ordinamento
General,Generale
Use Global settings for labels API,Utilizzare le impostazioni globali per le etichette di API
Shipping Labels,etichette di spedizione
Dimension Units,unità di misura
Default Package Length,Pacchetto predefinito Lunghezza
Default Package Width,Predefinito Larghezza Package
Default Package Height,Pacchetto di default Altezza
PDF Specific,PDF specifico
PDF Page Size,PDF Formato pagina
PDF Page Width,PDF Larghezza pagina
PDF Page Height,PDF Pagina Altezza
PDF Label Rotation,Rotazione PDF Label
PDF Label Left Offset,PDF Label Offset sinistro
PDF Label Top Offset,PDF Label Top Offset
EPL Specific,EPL specifico
Enable Printing DocTab,Abilita stampa DocTab
Fedex Settings,Impostazioni Fedex
Test Mode,Modalità di test
User Key,Chiave utente
User Password,Password Utente
Account Number,Numero Conto
Meter Number,Numero Meter
Smart Post Hub ID,Smart Post Hub ID
Payment Type,Modalit&agrave; di pagamento
3rd Party Account Number,3 ° Numero di conto del partito
3rd Party Contact Name,Nome 3rd Party Contatto
3rd Party Company,3rd Party azienda
3rd Party Phone,3rd Party Phone
Default Dry Ice Weight (KG),Predefinito ghiaccio secco peso (kg)
Drop Off Type,Tipo Drop Off
Label Stock Type,Contrassegno Stock Type
PDF Label Width,PDF Larghezza etichetta
PDF Label Height,PDF Label Altezza
Signature Option,Opzione firma
Insurance,Assicurazione
Shipment notification types,tipi di notifica della spedizione
Shipment notification email(s),e-mail di notifica della spedizione (s)
Comma separated,Separato da virgola
ITN (Internal Transaction Number),ITN (numero di transazione interna)
"For shipments requiring an EEI/SED, enter the ITN number received from AES when you filed your shipment or the FTR (Foreign Trade Regulations) exemption number.<br/>Proper format: <strong>AES XYYYYMMDDNNNNNN</strong> where YYYYMMDD is date and NNNNNN are numbers generated by the AES.<br/>Apply at <a href=""http://www.aesdirect.gov"">http://www.aesdirect.gov</a>","Per le spedizioni che richiedono un EEI / SED, immettere il numero ITN ricevuta da AES quando si archiviato la spedizione o il (Regolamento Commercio Estero) numero di esenzione FTR formato <br/> esatta:. <Strong> AES XYYYYMMDDNNNNNN </ strong> dove è AAAAMMGG data e NNNNNN sono numeri generati dal AES. <br/> Applicare a <a href=""http://www.aesdirect.gov""> http://www.aesdirect.gov </a>"
Endicia Settings,Impostazioni Endicia
Endicia API URL,URL API Endicia
Label Test Mode,Test Mode Label
Requester ID,richiedente ID
Account ID,Account ID
Pass Phrase,Frase d'accesso
New Pass Phrase,Nuovo Passphrase
Entering new passpharse will issue Endicia ChangePassPhraseXML API call,Entrando nuova passpharse emetterà chiamata API Endicia ChangePassPhraseXML
Confirm New Pass Phrase,Conferma nuova frase di
Default Mail Class,Class Mail predefinito
Default Mail Piece Shape,Posta elettronica predefinito Forma Pezzo
Stealth,Furtivo
Delivery Confirmation,Conferma di consegna
Signature Confirmation,firma Conferma
Return Receipt,Ricevuta di ritorno
Electronic Return Receipt,Ricezione elettronica di ritorno
Insured Mail,posta assicurata
Restricted Delivery,consegna riservata
COD,CONTRASSEGNO
Balance Threshold,equilibrio Soglia
