Download Labels,Télécharger étiquettes
System Methods,Méthodes système
Delete,Effacer
Are you sure?,Êtes-vous sûr?
Manage Shipping Methods,Gérer les méthodes d'expédition
Add New Shipping Method,Ajouter un nouveau mode de livraison
Select Category,Sélectionner une catégorie
Add Carrier,Ajouter transporteur
Custom Vendor Information,Information du vendeur sur mesure
Custom Data,données personnalisées
"
Enter custom data for this vendor.<br/>
Each part should start with:<br/>
<pre>===== part_name =====</pre><br/>
Parts can be referenced from product template like this:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
","Entrez les données personnalisées pour ce fournisseur. <br/>
Chaque partie doit commencer par: <br/>
<Pre> ===== ===== part_name </ pre> <br/>
Les pièces peuvent être référencés à partir du modèle de produit comme celui-ci:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
"
Vendor Info,Information vendeur 
Vendor Name,Nom du prestataire
Membership Profile,Profil d'adhésion
* Please select,--sélectionnez--
Membership,Adhésion
Allow Microsite,Autoriser microsite
Limit Products,Produits limite
Billing Type,Type de facturation :
DO NOT Automatically synchronize status with profile,Ne pas synchroniser automatiquement l'état avec le profil
Reject Reason,Raison rejeter
Send Reject Email,Envoyer Rejeter Email
Resend Confirmation Email,Renvoyer un courriel de confirmation
Send Confirmation Email,Envoyer un courriel de confirmation
Resending confirmation email will reset password (revoke old one). New password will be sent to vendor in separate email once he click at the link in this confirmation email.,Email de confirmation de renvoyer réinitialise le mot de passe (révoquer ancien). Nouveau mot de passe sera envoyé au fournisseur dans le courrier électronique séparé une fois qu'il clique sur le lien dans cet e - mail de confirmation.
Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email.,Envoyer un courriel de confirmation. Mot de passe sera envoyé au fournisseur dans le courrier électronique séparé une fois qu'il clique sur le lien dans cet e - mail de confirmation.
Waiting for email confirmation,En attente de confirmation par courriel
No,Non
Yes,Oui
Preferred Carrier,Transporteur préféré
Use Rates Fallback Chain,Utilisez la chaîne Tarifs Fallback
Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier,Je vais essayer de trouver le taux d'estimation disponible pour les méthodes d'expédition dropship pour <br> 1.Estimation porteuse <br> 2.Remplacer transporteur <br> 3.Transporteur par défaut
Vendor Email,Email du vendeur
Email is also used as username,Le courrier électronique est également utilisé comme nom d'utilisateur
New Password,Nouveau mot de passe
Leave empty for no change,Laisser le champ vide pour aucun changement
Log In Password,Identifiant/Mot de passe
Login disabled if empty,Login Disabled si vide
Vendor Telephone,Téléphone fournisseur
Phone number is required for FedEx label printing,numéro de téléphone est nécessaire pour l'impression d'étiquettes FedEx
Vendor Fax,fournisseur Fax
Use Default Configuration,Utiliser la configuration par défaut
Notification Template,Modèle de notification
Allow shipping extra charge,Autoriser l'expédition des frais supplémentaires
Default shipping extra charge suffix,Par défaut expédition suffixe payant
Default shipping extra charge type,Par défaut expédition type de supplément
Default shipping extra charge,Par défaut expédition de frais supplémentaires
Is extra charge shipping default,Est-ce supplément défaut d'expédition
URL friendly identifier,Identifiant convivial URL
Please select state...,S'il vous plaît sélectionner l'état ...
Shipping Origin Address,Expédition Origine Adresse
Attention To,Attention à
Street,Rue
City,Ville
Zip / Postal code,Zip / code postal
Country,Pays
Please select Country,Veuillez sélectionner votre Pays
State,État
Please select State,S'il vous plaît sélectionnez État
Billing Address,Adresse de facturation
Same as Shipping,Mêmes que l'expédition
Leave empty to use shipping origin,Laisser vide pour utiliser l'origine de l'expédition
Email,E-mail
Leave empty to use default,Laisser vide pour utiliser par défaut
Telephone,Téléphone
Fax,Télécopie(s)
Name,Nom
SKU,UGS
Vendor SKU,SKU fournisseur
Price,Prix
Vendor Cost,Coût du vendeur
Vendor Price,Prix du prestataire
Vendor Title,Titre du vendeur
State/Condition,État / Condition
Backorders,commandes en attente
Vendor Stock Qty,Fournisseur Stock Quantité
Availability State,État Disponibilité
Availability Date,Date de disponibilité
Special Price,Prix ??special
Priority,Priorité
Code,Côde
Extra Charge,Supplement?
* Use Default,Utiliser par défaut
Estimate Carrier,Carrier Estimation
* Use Estimate,* Estimation utilisation
Carrier Override,transporteur Override
Default,Par défaut
Manage Vendors,gérer les fournisseurs
Vendor Information,Infos sur le vendeur 
Preferences,Préférences
Shipping methods,Méthode de Livraison
Associated Products,produits associés
Save Vendor,Enregistrer fournisseur
Save and Continue Edit,Enregistrer et continuer Modifier
Delete Vendor,supprimer fournisseur
Edit Vendor '%s,Modifier fournisseur d « %
New Vendor,nouveau fournisseur
Vendor ID,ID Vendeur
Distributor,Distributeur
Used Carrier,Transporteur occasion
Shipping Profile,Profil de livraison
Change status,Modifier le Statut
Change Preferred Carrier,Changer d'opérateur préféré
Change Shipping Profile,Modifier le profil d'expédition
WYSIWYG Editor,Editeur WYSIWYG
Use Default,Utiliser par défaut
Allow Extra Charge,Autoriser charge supplémentaire
From Date,À partir du:
To Date,À ce jour
Includes Reserved Qty,Comprend réservés Quantité
Add Adjustment,Ajouter Réglage
Add,Ajouter
Adjustment ID,réglage ID
PO ID,ID PO
PO Type,type de PO
Amount,Montant
Username,Nom d'Utilisateur 
Comment,Commentaire
Statement Info,Infos Déclaration
Statement ID,ID déclaration
Po Type,type de Po
Number of Orders,Nombre de commandes : {1}
Total Payout,Gain total
Total Paid,Montant total versé
Total Due,Total dû
Total Invoice,Facture totale
Notes,les Remarques
Adjustment,Réglage
Payout ID,ID Payout
Payout Type,Type de Payout
Payout Status,Statut Payout
Transaction ID,identifiant de transaction
# of Orders,# de commandes
Order ID,Numéro de commande
Refund ID,ID de remboursement
Refund Date,date de remboursement
Subtotal,Sous-Total
Com Amount,Com Montant
Tax,Taxe
Shipping,Livraison 
Discount,Remise
Total Refund,remboursement total
PO Ready Date,PO Date de Prêt
Trans Fee,Trans Fee
Paid,Payé
Manage Statements,gérer déclarations
Statement Information,Renseignements de l'état
Payouts,déboursements
Rows,rangées
Refunds,Remboursement
Adjustments,ajustement.
Delete Statement,supprimer Déclaration
Save and Pay,Enregistrer et Pay
Save and Refresh,Enregistrer et actualiser
Statement,Relevé
Period,Période
Total Payment,Paiement Total
Sent,Envoyée
Deleting selected statement(s). Are you sure?,Suppression d'instruction sélectionnée (s). Êtes-vous sûr?
Refresh,Actualiser
Download/Print,Télécharger Imprimer
Send Emails,Envoyer courriel
Emailing selected statement(s) to vendors. Are you sure?,Emailing instruction sélectionnée (s) aux fournisseurs. Êtes-vous sûr?
Statements Generation Criteria,États Critères de génération
Vendor Selection,La sélection des fournisseurs
All Active Vendors,Tous les vendeurs actifs
Selected Vendors,Les vendeurs sélectionnés
Vendors,Vendeurs
Orders From Date,Commandes De Date
Orders To Date,Les commandes à ce jour
Use Locale Timezone,Utilisez Timezone Locale
Statement Period,Période de déclaration
"If empty, will take YYMM of ""Orders From Date","Si elle est vide, prendra AAMM de « Ordres De Date"
Generate Statements,générer états
Generate Vendor Statements,Générer déclarations des fournisseurs
Vendor Statements,Déclarations des fournisseurs
Add New Vendor,Ajouter un nouveau fournisseur
* Use PO carrier *,* Utiliser transporteur PO *
Custom Value,Valeur personnalisée
Images (%s),Images (%s)
Media Storage,Stockage média
Create Folder...,Créer un Dossier
Delete Folder,Supprimer le dossier
Delete File,Supprimer le(s) Fichier(s) ?
Insert File,Insérer un fichier
New Folder Name:,Nouveau nom de dossier
Are you sure you want to delete current folder?,Etes-vous sûr de vouloir supprimer le dossier en cours?
Are you sure you want to delete the selected file?,Etes-vous sûr de vouloir supprimer le fichier sélectionné?
Storage Root,stockage racine
Invalid username or password.,nom d'utilisateur ou mot de passe invalide.
Login and password are required,Login et mot de passe sont nécessaires
Report,Rapport
Shipment has been marked as complete,L'envoi a été marqué comme complet
There was a problem marking this shipment as complete: ,Il y avait un problème marquant cette expédition comme complète: 
Invalid shipment ID supplied,ID expédition non valide fourni
This shipment no longer exists.,Cette expédition n'existe plus.
Comment text field cannot be empty.,champ de texte Commentaire ne peut être vide.
Canceled shipment cannot be reverted,expédition Annulée est irréversible
%s\n\n[%s has changed the shipment status to %s],%s \ n \ n [%s a changé le statut d'expédition%s]
%s\n\n[%s tried to change the shipment status to %s],%s \ n \ n [%s a essayé de changer le statut d'expédition%s]
Cannot add new comment.,Impossible d'ajouter un commentaire.
%s notifications sent.,Les notifications envoyées%.
Problems during notifications resend.,Problèmes lors de notifications Renvoyez.
Shipping Methods,Méthode de Livraison
"Only one system method could be selected when using ""* Any available"" wildcard method",Une seule méthode de système pourrait être sélectionné lors de l'utilisation « * Tout disponible » méthode générique
Shipping Method was successfully saved,Méthode d'expédition a été enregistrée avec succès
Shipping Method was successfully deleted,Méthode d'expédition a été supprimé avec succès
Please select shipping method(s),S'il vous plaît choisir la méthode d'expédition (s)
Total of %d record(s) were successfully deleted,Total de l'enregistrement% d (s) ont été supprimés avec succès
Generate,Générer
"All done, <a href=""%s"">click here</a> to be redirected to statements grid.","Tout est fait, <a href=""%s""> cliquez ici </a> pour être redirigé vers la grille de déclarations."
Statements,Déclarations
Statement was successfully refreshed,Déclaration a été avec succès rafraîchi
Statement '%s' no longer exists,Déclaration « %s » n'existe plus
Statement was successfully saved,Déclaration a été enregistrée avec succès
Statement was successfully deleted,Déclaration a été supprimé avec succès
Please select statement(s),S'il vous plaît sélectionner statement (s)
Total of %d record(s) were successfully refreshed,Total de l'enregistrement% d (s) ont été avec succès rafraîchi
No statements found to print,Aucune déclaration trouvée pour imprimer
There was an error while download vendor statement(s): %s,Il y avait une erreur while téléchargement du fournisseur (s):%s
Total of %d statement(s) have been sent,Total de déclaration% d (s) ont été envoyés
Vendor was successfully saved,Fournisseur a été enregistrée avec succès
This shipping methods were not saved: %s. Try to use overrides.,Cette méthode d'expédition ne sont pas enregistrés:%s.Essayez d'utiliser des remplacements.
Vendor was successfully deleted,Fournisseur a été supprimé avec succès
Please select vendor(s),S'il vous plaît sélectionner fournisseur (s)
Total of %d record(s) were successfully updated,Total de l'enregistrement% d (s) ont été mis à jour avec succès
There was an error while updating vendor(s) status,Il y avait une erreur en mettant à jour le statut de fournisseur (s)
There was an error while updating vendor(s) preferred carrier,Il y avait une erreur en mettant à jour fournisseur (s) support préféré
Create and Download Labels Batch,Créer et télécharger des étiquettes lot
Download Packing Slips,Les glissades d'emballage Télécharger
Your session has been expired. Please log in again.,Votre session a expiré. Merci d'essayer de vous connecter à nouveau.
Invalid confirmation link,lien de confirmation non valide
Your password has been reset.,Votre mot de passe a été réinitialisé.
"Thank you, password reset instructions have been sent to the email you have provided, if a vendor with such email exists.","Merci, les instructions de réinitialisation de mot de passe ont été envoyés à l'adresse électronique que vous avez fourni, si un fournisseur avec un tel email existe."
Invalid form data,Les données de forme non valide
Settings has been saved,Paramètres a bien été enregistré
No updates were made,Aucune mise à jour ont été faites
%s printed label ID %s,%s étiquette imprimée ID%s
No items are available for shipment,Aucun élément sont disponibles pour l'expédition
%s added tracking ID %s,%s ajouté suivi ID%s
Tracking ID has been added,Numéro de suivi a été ajouté
%s has changed the shipment status to %s,%s a changé le statut d'expédition%s
%s tried to change the shipment status to %s,%s ont essayé de changer le statut de l'expédition à%s
Shipment status has been changed,état de l'expédition a été modifié
%s x [%s] %s,%sx [%s]%s
Your comment has been sent to store administrator,Votre commentaire a été envoyé pour stocker l'administrateur
%s voided tracking ID %s,%s annulés suivi ID%s
Track %s was voided,Piste%s a été annulée
%s attempted to void tracking ID %s: %s,%s ont tenté d'annuler le suivi ID%s:%s
Problem voiding track %s: %s,piste%s mictionnelle Problème:%s
%s deleted tracking ID %s,%s identifiant de suivi supprimé%s
Track %s was deleted,Piste%s a été supprimé
Track %s was not found,Piste%s n'a pas été trouvé
No shipments found with supplied IDs,Aucun envoi trouvé avec les ID fournis
No shipments found for these criteria,Aucun envoi correspond à
No status selected,Aucun statut sélectionné
Shipment status has been updated for the selected shipments,état de l'envoi a été mis à jour pour les envois sélectionnés
You are not authorized to print this shipment,Vous n'êtes pas autorisé à imprimer cet envoi
%s printed packing slip,% Du feuillet d'emballage imprimé
Vendor specific custom text on the bottom of packing slip,Fournisseur texte personnalisé spécifique sur le fond du bordereau d'expédition
Dropship,Drop-shipping
General Details,Informations générales 
Item Details,Détails d'élément
Dropship Labels,Étiquettes Dropship
Drop Shipping,drop shipping
Administrator Options,Options Administrateur
Vendor Comments Receiver (store owner),Récepteur Commentaires fournisseur (propriétaire du magasin)
Vendor Comments Email Subject,Commentaires fournisseur Email Sujet
Vendor Comments Template,Modèle Commentaires fournisseurs
Letterhead Info,Infos Letterhead
Letterhead Logo,Logo Letterhead
Letterhead Logo Aspect Ratio,Logo de Letterhead Aspect Ratio
Admin Interface Theme,Thème Interface d'administration
Subscribe for extension update notifications,Abonnez-vous pour les notifications de mise à jour d'extension
Use ShipService_v12.wsdl for fedex shipping labels,Utilisez ShipService_v12.wsdl pour étiquettes d'expédition fedex
"Show vendor rates in ""Shipping & Handling Information""
 box of order view page","Afficher les tarifs des fournisseurs dans « Expédition et traitement de l'information »
Boîte de page d'affichage de commande
"
"Use ""select ... for update"" to check if order already split to pos",Utilisez « select ... pour la mise à jour » pour vérifier si l'ordre déjà divisé pos
This option should be used when you experience problem when duplicate POs created,Cette option doit être utilisée lorsque vous rencontrez problème lorsque doublons créé OREN
Local Vendor,fournisseur local
Make Available to Dropship on Order Status(es),Mettre à la disposition dropship sur l'état de la commande (s)
Change order status after POs beeing generated,Modification de l'état de la commande après beeing généré OREN
"Strict mode of ""Change order status after POs beeing generated""",Le mode strict de « l'état de changement de commande après beeing généré OREN »
"NOTE: ""yes"" will not change order status to the one selected in ""Change order status after POs beeing generated"" unless it was in one of ""Make Available to Dropship on Order Status(es)"" <br /> That could happen when you manually create POs in ""Advanced PO"" add-on and order poccess status not from the list of ""Make Available to Dropship on Order Status(es)"" <br /> ""no"" have no restriction",REMARQUE: « oui » ne changera pas l'état de l'ordre de celui sélectionné dans « Modifier l'état des commandes après OREN beeing produit » à moins qu'il était dans l'une des « Mettre à la disposition Dropship sur le statut de la commande (es) » <br /> Cela pourrait se produire lorsque vous créez manuellement dans OREN « Advanced PO » add-on et de l'ordre de l'état poccess pas dans la liste des « Mettre à la disposition dropship sur l'état de la commande (s) » <br /> « non » ont aucune restriction
Default Vendor Order (Shipment) Status,Par défaut du fournisseur commande (expédition) Statut
Make Order Ready to Ship on Printing Packing Slip,Passer commande Prêt à navire d'impression d'emballage Slip
Vendor Notification Email Sender,Avis fournisseur Email Sender
Default Vendor Notification Template,Modèle de notification du fournisseur par défaut
Shipment Comment Vendor Notification Template,Envoi Commentaire Modèle de notification du vendeur
Default Vendor Password Reminder Template,Mot de passe par défaut du fournisseur Rappel du modèle
Low stock vendor notification template,modèle de notification faible vendeur d'actions
Special Cost Product Attribute,Attributs du produit Prix spécial
NOTE: If date of order falls between special_from_date and special_to_date this attribute will be used as cost,NOTE: Si la date de l'ordre se situe entre special_from_date et special_to_date cet attribut sera utilisé en tant que coût
Vendor SKU Product Attribute,Référence fournisseur Attribut produit
Font to use in PDF,Police à utiliser au format PDF
NOTE: Using standard fonts will yield much smaller file size,REMARQUE: L'utilisation de polices standard donnera beaucoup plus petite taille du fichier
Attach Packing Slip to Vendor Notification,Fixer le bordereau d'au fournisseur Avis
Attach Shipping Label to Vendor Notification,Joindre Étiquette d'expédition au fournisseur Avis
Unique Email,Email unique
NOTE: Email/password combination is always unique,REMARQUE: combinaison Email / mot de passe est toujours unique
Unique Vendor Name,Nom du vendeur unique
Vendor Interface Theme,Interface fournisseur Thème
Visible Preferences,Préférences visibles
"NOTE: if none are selected, all will be shown by default","REMARQUE: si aucun est sélectionné, tous seront affichés par défaut"
Allowed HTML Tags for Vendor Preferences,Tags HTML autorisés pour les préférences des fournisseurs
Master Password,Mot de passe principal
Use this master password with vendor email to login to any vendor account,Utilisez ce mot de passe maître avec le courrier électronique de fournisseur pour vous connecter à un compte fournisseur
Attempt to void labels on deletion,Tentative d'annuler les étiquettes sur la suppression
Support for UPS only at the moment,Prise en charge UPS uniquement au moment
Allow vendors to change shipment status manually,Permettre aux fournisseurs de modifier le statut d'expédition manuellement
Automatically complete vendor shipment,Automatiquement l'expédition complète des fournisseurs
Available system shipping methods during vendor reassign in order,méthodes d'expédition du système disponibles au cours vendeur pour réassigner
Allow wysiwyg editor,Autoriser éditeur wysiwyg
Use autocomplete for vendor html select,Autocomplétion pour sélectionner html fournisseur
Hide shipping amount in packingslip,Masquer montant expédition en packingslip
Restrict shipment statuses in vendor interface,Limiter l'état des expéditions dans l'interface fournisseur
Available shipment statuses in vendor interface,statuts d'expédition disponibles dans l'interface fournisseur
"Show product ID in ""Manage Stock"" in vendor interface",Afficher ID de produit « Gérer Stock » dans l'interface fournisseur
Always allow generate labels for these system carriers,Toujours autoriser générer des étiquettes pour ces supports de système
Allow use of all PO udropship method associated system carriers when generate label,Permettre l'utilisation de toutes les porteuses du système associé de la méthode de PO udropship lorsque générer étiquette
Allow use of all carrier methods when generate label,Autoriser l'utilisation de toutes les méthodes de support générer lorsque l'étiquette
Default custom text on the bottom of packing slip,texte personnalisé par défaut sur le fond de bordereau d'expédition
Show totals in vendor portal order view,Afficher les totaux en vue de la commande de portail fournisseur
Statement Email Sender,Déclaration Email Sender
Statement Email Template,Déclaration Modèle de courriel
Adjustment Comment Trigger Word,Réglage Commentaire Trigger Mot
Use this as a first word in shipment comment for adjustment amounts in the following format:<br/>ADJUSTMENT: -120<br/>Comment here,Utilisez ceci comme un premier mot dans le commentaire de l'expédition pour des montants d'ajustement dans le format suivant: AJUSTEMENT <br/>: -120 <br/> Commentaire ici
Statement Usage,Utilisation Déclaration
"Default ""Apply commission on Discount""",Par défaut « Appliquer commission sur Discount »
"Default ""Apply commission on Tax""",Par défaut « Appliquer la commission sur la fiscalité »
"Default ""Apply commission on Shipping""",Par défaut « Appliquer la commission des transports maritimes »
"Default ""Discount In Payout""",Par défaut « Remise en Payout »
"Default ""Tax In Payout""",Par défaut « impôt En Payout »
"Default ""Shipping In Payout""",Par défaut « Expédition En Payout »
"Default ""Include shipping tax in shipping amount""",Par défaut « Inclure la taxe d'expédition dans le montant de la livraison »
"Default ""Statement subtotal calculation based on""",Par défaut « Déclaration total partiel Calcul basé sur »
"Default ""Statement calculation based on""",Par défaut « calcul de la déclaration fondée sur »
"Default ""Statement on following shipment statuses""",Par défaut « Déclaration sur les statuts d'expédition suivant »
Enable Refunds,activer remboursements
Customer Options,Options client
Action on enable/disable vendor,Action pour activer / désactiver le vendeur
Action on delete vendor,Action sur le fournisseur de suppression
Customer Notification on Shipment Completion,Avis des clients sur l'achèvement de l'expédition
Customer Notification on Tracking ID,Avis des clients sur l'ID de suivi
Tracking ID Notification Template,Numéro de suivi du modèle de notification
Tracking ID Notification Template for Guests,Numéro de suivi du modèle de notification pour les clients
Repeat tracking poll every ...,Répétez sondage de suivi tous les ...
hours,heures
Poll Tracking API,Sondage API de suivi
"Will periodically poll available carrier tracking APIs, and mark items as shipped only after receiving confirmation that the packages were picked up","Retentera périodiquement les API de suivi de transport disponibles, et l 'objet comme livré seulement après avoir reçu la confirmation que les paquets ont été récupérés"
Estimate Total Method,Estimation Méthode totale
Estimate Error Action,Estimation d'action d'erreur
This action will be taken if one or more of vendor carriers participating in estimate returns an error or no results,Cette action sera prise si un ou plusieurs des transporteurs fournisseurs participant à l'estimation renvoie une erreur ou aucun résultat
Use Custom HTML Customer Address Template For Vendors,Utiliser un modèle d'adresse client HTML personnalisé pour les fournisseurs
HTML Customer Address Template For Vendors,HTML modèle d'adresse client pour les fournisseurs
Use Custom PDF Customer Address Template For Vendors,Utiliser un modèle d'adresse du client PDF personnalisé pour les fournisseurs
PDF Customer Address Template For Vendor,PDF Modèle d'adresse du client pour le fournisseur
Product Stock Options,Stock Options produit
Vendor Decision Method,Méthode de décision du vendeur
Vendor Decision Method For Reassign,Décision du fournisseur Méthode Pour Réattribuer
When doing order items vendor reassign (Multivendor add-on) or manually creating PO (Advanced PO add-on) use this decision method to check vendors stock,Lorsque vous effectuez des éléments de commande fournisseur réattribuer (multifournisseur add-on) ou créer manuellement PO (Advanced PO add-on) utiliser cette méthode de décision pour vérifier les vendeurs stock
Skip Stock Check For Reassign,Passer Vérification du stock Pour Réattribuer
Skip Limit Address Check For Reassign,Passer Limite adresse Arrivée Pour Réattribuer
"Skip Bundle ""Ship Separately"" limitation",Passer Bundle limitation « expédiez »
"By default to allow bundle items to be shipped separatelly all bundle specific options should be dynamic (Price, Weight, Ship Separately). This option skip that limitation and only ""Ship Separately"" considered. Using that option make sure your shipping calculation methods does not rely on weight. Also it could lead in some cases order/invoice totals to be calculated incorrectly. So use it very carefully.","Par défaut pour permettre des articles faisceau à expédier separatelly toutes les options spécifiques bundle devrait être dynamique (prix, poids, expédiez). Cette option sauter cette limitation et seulement « expédiez » considéré.En utilisant cette option assurez - vous que vos méthodes de calcul de l' expédition ne repose pas sur le poids.En outre, il pourrait conduire dans certains cas, la commande / totaux des factures à calculer de manière incorrecte. Il faut donc utiliser très attentivement."
Split Bundle by vendors,Bundle divisé par les vendeurs
Yes - will split bundle into multiple cart items by child items vendors,Oui - regrouperons divisé en plusieurs éléments de panier par des objets enfants vendeurs
Show vendor sku column in vendor portal stock section,Afficher vendeur colonne sku dans le portail fournisseur section stock
Miscellaneous,Divers
Email Transport,Transport Email
Poll Tracking Error Notifications Options,Sondage Tracking Error Notifications options
Enabled,Activé
Sender (email from identity),Auteur (e-mail d'identité)
Receiver (store owner),Récepteur (propriétaire du magasin)
Label Request Failed Email Subject,Demande d'étiquette Echec Objet Email
Label Request Failed Email Template,Demande d'étiquette Échec du modèle e-mail
Poll Tracking Failed Email Subject,Sondage de suivi a échoué Sujet Email
Poll Tracking Failed Email Template,Sondage de suivi a échoué modèle e-mail
Poll Tracking Limit,Sondage de suivi Limit
Poll Tracking Limit Exceeded Email Subject,Sondage de suivi Limite Dépassé Email Sujet
Poll Tracking Limit Exceeded Email Template,Sondage de suivi Dépassement de la limite Modèle Email
Turn on udropship functionality explicitly,Mettez explicitement sur la fonctionnalité de udropship
Allow Free Shipping,Autoriser Livraison gratuite
Allow Rule Based Free Shipping,Autoriser Livraison gratuite à base de règles
Free methods,méthodes gratuites
Free Shipping with Minimum Order Amount,Livraison gratuite avec ordre minimum de
Minimum Order Amount for Free Shipping,Montant minimum de commande pour livraison gratuite
Calculate Handling Fee,Calculer des frais de manutention
Handling Fee,Frais de manutention
Minimum Package Weight,Poids du paquet minimum
Ship to applicable countries,Navire pays concernés
Ship to Specific countries,Navire à certains pays
Show Method if Not Applicable,Afficher Méthode si Sans objet
Displayed error message,Message d'erreur affiché
Sort order,Ordre de tri
General,Général
Use Global settings for labels API,Utiliser les paramètres globaux pour API étiquettes
Shipping Labels,Les étiquettes d'expédition
Dimension Units,Unités de dimension
Default Package Length,Longueur du package par défaut
Default Package Width,Forfait par défaut Largeur
Default Package Height,Paquet par défaut Hauteur
PDF Specific,PDF spécifique
PDF Page Size,PDF Taille de la page
PDF Page Width,PDF Largeur de page
PDF Page Height,PDF Page Hauteur
PDF Label Rotation,PDF Étiquette Rotation
PDF Label Left Offset,Étiquette PDF Décalage gauche
PDF Label Top Offset,Étiquette PDF Top Offset
EPL Specific,EPL spécifique
Enable Printing DocTab,Activer l'impression DocTab
Fedex Settings,Fedex Réglages
Test Mode,Mode d'essai
User Key,Clé de l'utilisateur
User Password,Mot de passe utilisateur
Account Number,Numéro de compte
Meter Number,compteur Nombre
Smart Post Hub ID,Smart Hub ID Poste
Payment Type,Type de paiement :
3rd Party Account Number,3rd Party Numéro de compte
3rd Party Contact Name,3rd Party Nom du contact
3rd Party Company,3rd Party Company
3rd Party Phone,3rd Party Téléphone
Default Dry Ice Weight (KG),Par défaut glace sèche Poids (KG)
Drop Off Type,Drop Off Type de
Label Stock Type,Étiquette Type de stock
PDF Label Width,PDF Largeur d'étiquette
PDF Label Height,PDF Hauteur de l'étiquette
Signature Option,signature Option
Insurance,Assurance
Shipment notification types,types de notification d'expédition
Shipment notification email(s),e-mail de notification d'expédition (s)
Comma separated,Séparées par des virgules
ITN (Internal Transaction Number),ITN (Transaction interne Number)
"For shipments requiring an EEI/SED, enter the ITN number received from AES when you filed your shipment or the FTR (Foreign Trade Regulations) exemption number.<br/>Proper format: <strong>AES XYYYYMMDDNNNNNN</strong> where YYYYMMDD is date and NNNNNN are numbers generated by the AES.<br/>Apply at <a href=""http://www.aesdirect.gov"">http://www.aesdirect.gov</a>","Pour les envois nécessitant une IEE / ETD, entrez le numéro ITN reçu de AES lorsque vous avez déposé votre envoi ou le numéro d'exemption FTR (Règlement du commerce extérieur) <br/> format approprié. <Strong> AES XYYYYMMDDNNNNNN </ strong> yyyymmdd est date et NNNNNN sont des nombres générés par l'AES. <br/> Appliquer <a href=""http://www.aesdirect.gov""> http://www.aesdirect.gov </a>"
Endicia Settings,Endicia Réglages
Endicia API URL,URL de l'API Endicia
Label Test Mode,Étiquette Mode test
Requester ID,ID Requester
Account ID,ID de Compte
Pass Phrase,Phrase de passe
New Pass Phrase,Nouvelle phrase de passe
Entering new passpharse will issue Endicia ChangePassPhraseXML API call,Saisie nouvelle passpharse émettra API Endicia ChangePassPhraseXML appel
Confirm New Pass Phrase,Confirmer le nouveau phrase de passe
Default Mail Class,Classe par défaut Mail
Default Mail Piece Shape,Forme de la pièce de courrier par défaut
Stealth,Furtivité
Delivery Confirmation,Confirmation de livraison
Signature Confirmation,signature Confirmation
Return Receipt,Accusé de réception
