Download Labels,Download de etiquetas
"Strict mode of ""Change order status after POs beeing generated""",Alterar o status da ordem após a geração de POs
"NOTE: ""yes"" will not change order status to the one selected in ""Change order status after POs beeing generated"" unless it was in one of ""Make Available to Dropship on Order Status(es)"" <br /> That could happen when you manually create POs in ""Advanced PO"" add-on and order poccess status not from the list of ""Make Available to Dropship on Order Status(es)"" <br /> ""no"" have no restriction","Modo estrito de ""Alterar o status da ordem após a geração de POs"""
Default Vendor Order (Shipment) Status,"OBSERVAÇÃO: ""Sim"" não alterará o status da ordem para o selecionado em ""Alterar o status da ordem depois que as OPs forem geradas"", a menos que esteja em uma das opções ""Disponibilizar para Dropship no Status da Ordem"" <br /> Isso pode acontecer quando Você cria manualmente POs no complemento ""Advanced PO"" e não faz o status do poccess da ordem na lista de ""Make Available to Dropship no Status do Pedido"" <br /> ""no"" não tem nenhuma restrição"
Make Order Ready to Ship on Printing Packing Slip,Status padrão da ordem do fornecedor (envio)
Vendor Notification Email Sender,Faça a encomenda pronta para ser enviada na embalagem de impressão
Default Vendor Notification Template,Envio de e-mail de notificação de fornecedor
Shipment Comment Vendor Notification Template,Modelo de notificação de fornecedor padrão
Default Vendor Password Reminder Template,Modelo de notificação do fornecedor de comentário de remessa
Low stock vendor notification template,Modelo de lembrete de senha de fornecedor padrão
Special Cost Product Attribute,Modelo de notificação do fornecedor de estoque baixo
NOTE: If date of order falls between special_from_date and special_to_date this attribute will be used as cost,Atributo de produto de custo especial
Vendor SKU Product Attribute,NOTA: Se a data da encomenda cair entre special_from_date e special_to_date este atributo será utilizado como custo
Font to use in PDF,Vendedor SKU Atributo do Produto
NOTE: Using standard fonts will yield much smaller file size,Fonte a ser usada em PDF
Attach Packing Slip to Vendor Notification,NOTA: Utilizar tipos de letra padrão irá produzir tamanho de ficheiro muito menor
Attach Shipping Label to Vendor Notification,Anexar Deslizamento de Embalagem à Notificação do Fornecedor
Unique Email,Anexar etiqueta de remessa à notificação do fornecedor
NOTE: Email/password combination is always unique,Email exclusivo
Unique Vendor Name,NOTA: A combinação de email / senha é sempre exclusiva
Vendor Interface Theme,Nome exclusivo do fornecedor
Visible Preferences,Tema da interface do fornecedor
"NOTE: if none are selected, all will be shown by default",Preferências Visíveis
Allowed HTML Tags for Vendor Preferences,"NOTA: se nenhum for selecionado, todos serão exibidos por padrão"
Master Password,Tags HTML Permitidas para Preferências de Fornecedor
Use this master password with vendor email to login to any vendor account,Senha mestra
Attempt to void labels on deletion,Use esta senha mestra com e-mail do fornecedor para fazer login em qualquer conta de fornecedor
Support for UPS only at the moment,Tentativa de anular etiquetas na exclusão
Allow vendors to change shipment status manually,Suporte para UPS apenas no momento
Automatically complete vendor shipment,Permitir que os fornecedores alterem o status de remessa manualmente
Available system shipping methods during vendor reassign in order,Completar automaticamente a remessa do fornecedor
Allow wysiwyg editor,Métodos de envio do sistema disponíveis durante a reatribuição do fornecedor em ordem
Use autocomplete for vendor html select,Permitir editor wysiwyg
Hide shipping amount in packingslip,Usar preenchimento automático para html do fornecedor select
Restrict shipment statuses in vendor interface,Esconder o valor de envio em embalagens
Available shipment statuses in vendor interface,Restringir status de envio na interface do fornecedor
"Show product ID in ""Manage Stock"" in vendor interface",Status de remessa disponível na interface do fornecedor
Always allow generate labels for these system carriers,"Mostrar ID do produto em ""Gerenciar estoque"" na interface do fornecedor"
Allow use of all PO udropship method associated system carriers when generate label,Sempre permitir gerar rótulos para essas operadoras de sistema
Allow use of all carrier methods when generate label,Permitir o uso de todas as operadoras associadas do sistema udropship do PO ao gerar o rótulo
Default custom text on the bottom of packing slip,Permitir o uso de todos os métodos de transporte ao gerar o rótulo
Show totals in vendor portal order view,Texto personalizado padrão na parte inferior do recibo de remessa
Statement Email Sender,Mostrar totais na visualização do pedido do portal do fornecedor
Statement Email Template,Declaração de remetente de e-mail
Adjustment Comment Trigger Word,Modelo de e-mail de demonstração
Use this as a first word in shipment comment for adjustment amounts in the following format:<br/>ADJUSTMENT: -120<br/>Comment here,Comentário de ajuste Trigger Word
Statement Usage,Use isto como uma primeira palavra no comentário de remessa para quantidades de ajuste no seguinte formato: <br/> AJUSTE: -120 <br/> Comentar aqui
"Default ""Apply commission on Discount""",Uso da instrução
"Default ""Apply commission on Tax""","Padrão ""Aplicar comissão sobre desconto"""
"Default ""Apply commission on Shipping""","Padrão ""Aplicar comissão sobre Imposto"""
"Default ""Discount In Payout""","Padrão ""Aplicar comissão sobre Envio"""
"Default ""Tax In Payout""","Padrão ""Desconto em Pagamento"""
"Default ""Shipping In Payout""","Padrão ""Tax In Payout"""
"Default ""Include shipping tax in shipping amount""","Padrão ""Incluir imposto de envio no valor de remessa"""
"Default ""Statement subtotal calculation based on""","Padrão ""Cálculo do subtotal da instrução com base em"""
"Default ""Statement calculation based on""","Padrão ""Cálculo de declaração com base em"""
"Default ""Statement on following shipment statuses""","Padrão ""Declaração sobre os status de envio seguintes"""
Enable Refunds,Ativar reembolsos
Customer Options,Opções do cliente
Action on enable/disable vendor,Ação em ativar / desativar fornecedor
Action on delete vendor,Ação para excluir o fornecedor
Customer Notification on Shipment Completion,Notificação do cliente na conclusão da remessa
Customer Notification on Tracking ID,Notificação do cliente no ID de rastreamento
Tracking ID Notification Template,Modelo de notificação de identificação de rastreamento
Tracking ID Notification Template for Guests,Modelo de notificação de ID de rastreamento para convidados
Repeat tracking poll every ...,Repetir rastreamento sondagem cada ...
hours,Horas
Poll Tracking API,API de acompanhamento de pesquisas
"Will periodically poll available carrier tracking APIs, and mark items as shipped only after receiving confirmation that the packages were picked up",Examinará periodicamente as APIs de acompanhamento de veiculadores disponíveis e marcará os itens como enviados somente após receber a confirmação de que os pacotes foram capturados
Estimate Total Method,Estimativa do Método Total
Estimate Error Action,Estimativa de Ação de Erro
This action will be taken if one or more of vendor carriers participating in estimate returns an error or no results,Esta ação será tomada se uma ou mais operadoras de fornecedores que participam da estimativa retornarem um erro ou nenhum resultado
Use Custom HTML Customer Address Template For Vendors,Use o modelo de endereço de cliente HTML personalizado para fornecedores
HTML Customer Address Template For Vendors,Modelo de endereço de cliente HTML para fornecedores
Use Custom PDF Customer Address Template For Vendors,Usar modelo de endereço de cliente PDF personalizado para fornecedores
PDF Customer Address Template For Vendor,Modelo de endereço de cliente PDF para fornecedor
Product Stock Options,Opções de stock do produto
Vendor Decision Method,Método de decisão do fornecedor
Vendor Decision Method For Reassign,Método de decisão do fornecedor para reatribuição
When doing order items vendor reassign (Multivendor add-on) or manually creating PO (Advanced PO add-on) use this decision method to check vendors stock,Ao fazer a reatribuição de fornecedores de itens de ordem (complemento Multivendor) ou criar manualmente PO (complemento de PO avançado) use este método de decisão para verificar o estoque de fornecedores
Skip Stock Check For Reassign,Saltar verificação de estoque para reatribuição
Skip Limit Address Check For Reassign,Ignorar o endereço de limite Verificar a reatribuição
"Skip Bundle ""Ship Separately"" limitation","Omissão de pacote ""Envio separadamente"" limitação"
"By default to allow bundle items to be shipped separatelly all bundle specific options should be dynamic (Price, Weight, Ship Separately). This option skip that limitation and only ""Ship Separately"" considered. Using that option make sure your shipping calculation methods does not rely on weight. Also it could lead in some cases order/invoice totals to be calculated incorrectly. So use it very carefully.","Por padrão, para permitir que os itens do pacote sejam enviados separadamente, todas as opções específicas do pacote devem ser dinâmicas (Preço, Peso, Enviar separadamente). Esta opção ignorar essa limitação e apenas ""Ship Separately"" considerado. Usando essa opção certifique-se de seus métodos de cálculo de envio não depende de peso. Também poderia levar em alguns casos a ordem / faturar totais para ser calculado incorretamente. Então, use-o com muito cuidado."
Split Bundle by vendors,Pacote dividido por fornecedores
Yes - will split bundle into multiple cart items by child items vendors,Sim - dividirá o pacote em vários itens de carrinho por fornecedores de itens filho
Show vendor sku column in vendor portal stock section,Mostrar coluna de fornecedor sku na seção de estoque do portal do fornecedor
Miscellaneous,Diversos
Email Transport,Email Transporte
Poll Tracking Error Notifications Options,Opções de Notificações de Erros
Enabled,ativado
Sender (email from identity),Remetente (e-mail de identidade)
Receiver (store owner),Receptor (proprietário da loja)
Label Request Failed Email Subject,E-mail do pedido de etiqueta falhou
Label Request Failed Email Template,Modelo de pedido de etiqueta com falha
Poll Tracking Failed Email Subject,Assunto do e-mail do rastreamento por sondagem
Poll Tracking Failed Email Template,Modelo de e-mail com falha de acompanhamento de pesquisa
Poll Tracking Limit,Limite de rastreamento de pesquisa
Poll Tracking Limit Exceeded Email Subject,Limite de rastreamento de sondagens excedido Assunto do e-mail
Poll Tracking Limit Exceeded Email Template,Limite de rastreamento da sondagem excedeu o modelo de e-mail
Turn on udropship functionality explicitly,Ativar a funcionalidade udropship explicitamente
Allow Free Shipping,Permitir frete grátis
Allow Rule Based Free Shipping,Permitir envio gratuito com base em regras
Free methods,Métodos livres
Free Shipping with Minimum Order Amount,Frete grátis com o valor mínimo da ordem
Minimum Order Amount for Free Shipping,Quantidade mínima de pedido para frete grátis
Calculate Handling Fee,Calcular Taxa de Manuseio
Handling Fee,Taxa de Manuseio
Minimum Package Weight,Peso mínimo do pacote
Ship to applicable countries,Envio aos países aplicáveis
Ship to Specific countries,Enviar para países específicos
Show Method if Not Applicable,Mostrar método se não aplicável
Displayed error message,Mensagem de erro exibida
Sort order,Ordem de classificação
General,Geral
Use Global settings for labels API,Usar configurações globais para etiquetas API
Shipping Labels,Etiquetas de envio
Dimension Units,Dimensão Unidades
Default Package Length,Comprimento padrão do pacote
Default Package Width,Largura padrão do pacote
Default Package Height,Altura do pacote padrão
PDF Specific,Especificação do PDF
PDF Page Size,Tamanho da página PDF
PDF Page Width,Largura da página PDF
PDF Page Height,Altura da página PDF
PDF Label Rotation,Rotação de etiquetas PDF
PDF Label Left Offset,Etiqueta em PDF Deslocamento para a esquerda
PDF Label Top Offset,PDF Label Top Offset
EPL Specific,Específico da EPL
Enable Printing DocTab,Ativar impressão DocTab
Fedex Settings,Configurações Fedex
Test Mode,Modo de teste
User Key,Chave do usuário
User Password,Senha do usuário
Account Number,Número da conta
Meter Number,Número do medidor
Smart Post Hub ID,ID do Hub do Smart Post
Payment Type,Tipo de pagamento
3rd Party Account Number,Número de conta de terceiros
3rd Party Contact Name,Nome de contato de terceiros
3rd Party Company,Empresa terceirizada
3rd Party Phone,Telefone de terceiros
Default Dry Ice Weight (KG),Peso do gelo seco padrão (KG)
Drop Off Type,Drop Off Type
Label Stock Type,Tipo de arquivo de etiqueta
PDF Label Width,Largura da etiqueta PDF
PDF Label Height,Altura da etiqueta PDF
Signature Option,Opção de assinatura
Insurance,Seguro
Shipment notification types,Tipos de notificação de remessa
Shipment notification email(s),Notificação de envio de e-mail (s)
Comma separated,Separado por vírgulas
ITN (Internal Transaction Number),ITN (número de transação interna)
"For shipments requiring an EEI/SED, enter the ITN number received from AES when you filed your shipment or the FTR (Foreign Trade Regulations) exemption number.<br/>Proper format: <strong>AES XYYYYMMDDNNNNNN</strong> where YYYYMMDD is date and NNNNNN are numbers generated by the AES.<br/>Apply at <a href=""http://www.aesdirect.gov"">http://www.aesdirect.gov</a>","Para remessas que exigem uma EEI / SED, insira o número ITN recebido da AES quando você arquivou sua remessa ou o número de isenção FTR (Foreign Trade Regulations). <br/> Formato apropriado: <strong> AES XYYYYMMDDNNNNNN </ strong> onde YYYYMMDD é Data e NNNNNN são números gerados pelo AES. <br/> Inscreva-se em <a href=""http://www.aesdirect.gov""> http://www.aesdirect.gov </a>"
Endicia Settings,Configurações de Endicia
Endicia API URL,URL da Endicia API
Label Test Mode,Modo de Teste de Etiqueta
Requester ID,ID do Requerente
Account ID,ID da conta
Pass Phrase,Pass Phrase
New Pass Phrase,Nova frase de passagem
Entering new passpharse will issue Endicia ChangePassPhraseXML API call,A introdução de nova passpharse irá emitir a chamada da Endicia ChangePassPhraseXML API
Confirm New Pass Phrase,Confirmar nova frase de passagem
Default Mail Class,Classe de correio padrão
Default Mail Piece Shape,Padrão Mail Piece Shape
Stealth,Furtividade
Delivery Confirmation,Confirmação de entrega
Signature Confirmation,Confirmação de assinatura
Return Receipt,Recebimento de devolução
Electronic Return Receipt,Recepção eletrônica
Insured Mail,Correio seguro
Restricted Delivery,Entrega Restrita
COD,BACALHAU
Balance Threshold,Limiar de saldo
Leave empty to disable automatic funding of the account,Deixe em branco para desativar o financiamento automático da conta
Recredit Amount,Montante de Recr.
UPS Settings,Configurações do UPS
UPS API URL,URL da API do UPS
UPS Shipper Number,UPS Shipper Number
3rd Party Country,País de terceiros
3rd Party Postal Code,Código postal de terceiros
Verbal Confirmation,Confirmação verbal
Pickup Type,Tipo de coletor
Container Type,Tipo de recipiente
Destination Type,Tipo de Destino
* Select category,* Selecione a Categoria
Marked as shipped,Marcado como enviado
Unknown,Desconhecido
